Index,0 [UBYTE] [0x0],1 [UBYTE] [0x1],2 [BBOOL] [0xF],3 [BOOL] [0x2],4 [BOOL] [0x3],5 [BOOL] [0x4],6 [BOOL] [0x5],7 [BOOL] [0x6],8 [BOOL] [0x7],9 [BOOL] [0x8],10 [BOOL] [0x9],11 [BOOL] [0xA],12 [BOOL] [0xB],13 [BOOL] [0xC],14 [BOOL] [0xD],15 [BOOL] [0xE]
0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1,1,1,true,true,true,true,true,false,false,false,true,false,false,true,false,false
2,3,2,true,true,true,true,true,true,true,true,true,true,false,true,true,true
3,2,3,true,true,false,false,false,true,false,false,true,false,false,false,true,true
4,4,4,true,true,false,false,false,false,true,false,false,true,false,false,false,false
5,5,5,true,true,false,false,false,false,false,true,false,true,false,false,false,false
6,6,17,true,true,false,false,false,false,false,true,false,true,false,false,false,false
7,37,41,false,false,false,false,false,false,false,false,false,false,false,false,false,false
8,38,42,false,false,false,false,false,false,false,false,false,false,false,false,false,false
9,39,43,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10,40,44,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11,41,45,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12,42,46,false,false,false,false,false,false,false,false,false,false,false,false,false,false
13,22,15,true,false,false,true,true,true,true,false,true,true,false,true,true,true
14,27,11,true,false,true,true,true,true,true,true,true,true,false,true,true,true
15,44,12,true,false,true,true,true,true,true,true,true,true,false,true,true,true
16,19,16,true,false,true,false,false,false,false,false,true,false,false,false,false,false
17,72,21,true,false,false,false,false,false,false,false,false,false,true,false,false,false
18,73,22,true,false,false,false,false,false,false,false,false,false,true,false,false,false
19,10,23,true,false,false,false,false,false,false,false,false,false,true,false,false,false
20,70,31,true,false,false,false,false,false,false,false,false,false,true,false,false,false
21,11,33,true,false,false,false,false,false,false,false,false,false,true,false,false,false
22,71,32,true,false,false,false,false,false,false,false,false,false,true,false,false,false
23,45,13,true,false,true,true,true,true,false,false,true,false,false,true,true,true
24,46,14,true,false,false,false,false,false,true,true,false,true,false,false,false,false
25,57,51,false,false,false,false,false,false,false,false,false,false,false,false,false,false
26,60,52,false,false,false,false,false,false,false,false,false,false,false,false,false,false
27,61,53,false,false,false,false,false,false,false,false,false,false,false,false,false,false
28,62,54,false,false,false,false,false,false,false,false,false,false,false,false,false,false
29,63,55,false,false,false,false,false,false,false,false,false,false,false,false,false,false
30,64,56,false,false,false,false,false,false,false,false,false,false,false,false,false,false
31,65,57,false,false,false,false,false,false,false,false,false,false,false,false,false,false
32,66,58,false,false,false,false,false,false,false,false,false,false,false,false,false,false
