Index,0 [STRING] [0x0],1 [BBOOL] [0x6],2 [USHORT] [0x4]
0,"",false,0
1,"第1关：新手教学",false,349
2,"第2关：到处都是巧儿鸟",false,349
3,"第3关：万事开头难",false,349
4,"第4关：小小巨兽",true,350
5,"第5关：蛮族叛乱",false,349
6,"第6关：恐怖的墓园",true,351
7,"第7关：劲敌共斗",false,349
8,"第8关：光暗之界乃拂晓",false,349
9,"第9关：铜山爆破",true,352
10,"第10关：蔓德拉之子",false,349
11,"第11关：女王陛下万岁！",false,349
12,"第12关：打砖块",true,353
13,"第13关：首席机械师",false,349
14,"第14关：硬如坚果",false,349
15,"第15关：小小斗神讨伐战",true,354
16,"第16关：陆行鸟大进军",false,349
17,"第17关：披雪小冰壁",false,349
18,"第18关：小怪物狩猎",false,349
19,"第19关：小桥上的决斗",true,355
20,"第20关：愿水晶给予你指引",false,349
21,"第21关：贤者的试炼",false,349
22,"第22关：暗淡的世界",false,349
23,"第23关：巴哈姆特小迷宫邂逅之章",true,356
24,"第24关：巴哈姆特小迷宫真源之章",true,357
25,"",false,349
26,"",false,349
27,"",false,349
28,"",false,349
29,"",false,349
30,"",false,349
31,"",false,349
32,"",false,349
