Index,0 [USHORT] [0x0],1 [UBYTE] [0x2],2 [UBYTE] [0x3],3 [UBYTE] [0x4],4 [UBYTE] [0x5]
0,0,0,0,0,0
1,0,0,1,3,1
2,0,0,6,3,1
3,0,0,11,3,1
4,0,0,16,3,1
5,0,0,21,3,1
6,0,0,26,3,1
7,0,0,31,3,1
8,0,0,36,3,1
9,0,0,41,3,1
10,0,0,46,3,1
11,0,0,51,3,1
12,0,0,56,3,1
13,0,0,61,4,1
14,0,0,66,3,1
15,0,0,71,3,1
16,0,0,76,3,1
17,0,0,81,4,1
18,0,0,86,3,1
19,0,0,91,4,1
20,0,0,96,4,1
21,0,0,101,3,1
22,0,0,106,4,1
23,0,0,111,3,1
24,0,0,116,3,1
25,0,0,121,3,1
26,0,0,126,3,1
27,0,0,131,3,1
28,0,0,136,3,1
29,0,0,141,4,1
30,0,0,146,3,1
31,0,0,151,3,1
32,0,0,156,3,1
33,0,0,161,3,1
34,0,0,166,4,1
35,0,0,171,4,1
36,0,0,176,3,1
37,0,0,181,3,1
38,0,0,186,3,1
39,0,0,191,3,1
40,0,0,196,4,1
41,0,0,201,3,1
42,0,0,206,4,1
43,0,0,211,3,1
44,0,0,216,4,1
45,0,0,221,4,1
46,0,0,226,3,1
47,0,0,231,4,1
48,0,0,236,3,1
49,0,0,241,4,1
50,0,0,246,3,1
51,0,0,251,1,3
52,0,0,252,1,3
53,0,0,253,1,3
54,0,0,254,1,3
55,0,0,255,1,3
56,0,1,0,1,3
57,0,1,1,1,3
58,0,1,2,1,3
59,0,1,3,1,3
60,0,1,4,1,3
61,0,1,5,1,3
62,0,1,6,1,3
63,0,1,7,1,3
64,0,1,8,1,3
65,0,1,9,1,3
66,0,1,10,1,3
67,0,1,11,1,3
68,0,1,27,2,0
69,0,1,26,2,0
70,0,1,25,3,0
71,0,1,18,2,0
72,0,1,17,3,0
73,0,1,16,3,0
74,0,1,15,3,0
75,0,1,14,2,0
76,0,1,13,3,0
77,0,1,12,3,0
78,0,1,29,3,0
79,0,1,66,2,0
80,0,1,31,2,0
81,0,1,27,2,0
82,0,1,28,3,0
83,0,1,29,3,0
84,0,1,19,3,0
85,0,1,20,2,0
86,0,1,25,3,0
87,0,1,26,2,0
88,0,1,99,2,0
89,0,1,100,3,0
90,0,1,101,1,0
91,0,1,102,1,0
92,0,1,103,3,0
93,0,1,104,1,0
94,0,1,105,1,0
95,0,1,106,1,0
96,0,1,107,2,0
97,0,1,108,2,0
98,0,1,109,2,0
99,0,1,110,2,0
100,0,1,111,1,0
101,0,1,49,2,0
102,0,1,113,1,0
103,0,1,114,1,0
104,0,1,115,3,0
105,0,1,116,1,0
106,0,1,123,1,0
107,0,1,124,1,0
108,0,1,125,1,0
109,0,1,126,1,0
110,0,1,127,1,0
111,0,1,128,1,0
112,0,1,129,1,0
113,0,1,130,1,0
114,0,1,131,1,0
115,0,1,132,1,0
116,0,1,133,1,0
117,0,1,134,1,0
118,0,1,135,2,0
119,0,1,136,3,0
120,0,1,137,1,0
121,0,1,138,3,0
122,0,1,141,3,0
123,0,1,142,2,0
124,0,1,137,1,0
125,0,1,135,2,0
126,0,1,147,2,0
127,0,1,136,3,0
128,0,1,168,3,0
129,0,1,169,3,0
130,0,1,170,2,0
131,0,1,171,1,0
132,0,1,172,1,0
133,0,1,173,1,0
134,0,1,174,2,0
135,0,1,175,2,0
136,0,1,176,2,0
137,0,1,177,2,0
138,0,1,203,3,0
139,0,1,204,3,0
140,0,1,205,2,0
141,0,1,206,3,0
142,0,1,207,2,0
143,0,1,208,2,0
144,0,1,209,2,0
145,0,1,210,1,0
146,0,1,211,3,0
147,0,1,212,2,0
148,0,1,213,3,0
149,0,1,214,1,0
150,0,1,215,2,0
151,0,1,216,3,0
152,0,1,217,3,0
153,0,1,188,2,0
154,0,1,179,3,0
155,0,1,181,2,0
156,0,1,218,1,0
157,0,1,219,1,0
158,0,1,220,1,0
159,0,1,221,1,0
160,0,1,222,1,0
161,0,1,223,1,0
162,0,1,224,1,0
163,0,1,225,1,0
164,0,1,226,1,0
165,0,1,227,1,0
166,0,1,228,1,0
167,0,1,229,1,0
