Index,0 Name [0x0],1 [BYTE] [0x14],2 Name Plural [0x4],3 [BYTE] [0x15],4 [BYTE] [0x16],5 [BYTE] [0x17],6 [BYTE] [0x18],7 [BYTE] [0x19],8 Item Description [0x8],9 Guide Desc. [0xC],10 Guide Quote [0x10],11 [INT] [0xA0],12 [USHORT] [0xB4],13 [FLOAT] [0x28],14 [FLOAT] [0x2C],15 [FLOAT] [0x30],16 [FLOAT] [0x34],17 [FLOAT] [0x38],18 [FLOAT] [0x3C],19 [FLOAT] [0x40],20 [FLOAT] [0x44],21 [FLOAT] [0x48],22 [FLOAT] [0x4C],23 [FLOAT] [0x50],24 [FLOAT] [0x54],25 [FLOAT] [0x58],26 [FLOAT] [0x5C],27 [FLOAT] [0x60],28 [FLOAT] [0x64],29 [FLOAT] [0x68],30 [FLOAT] [0x6C],31 Summon Sound [0x70],32 Summon Sound 2 [0x88],33 Bye Sound [0x74],34 [FLOAT] [0x8C],35 [FLOAT] [0x78],36 [FLOAT] [0x90],37 [FLOAT] [0x7C],38 [FLOAT] [0x94],39 [FLOAT] [0x80],40 [FLOAT] [0x98],41 [FLOAT] [0x84],42 [FLOAT] [0x9C],43 [USHORT] [0xB6],44 [STRING] [0x1C],45 [STRING] [0x20],46 [STRING] [0x24],47 [UBYTE] [0xBE],48 [UBYTE] [0xBF],49 [BBOOL] [0xC6],50 [INT] [0xA4],51 [INT] [0xA8],52 [INT] [0xAC],53 [INT] [0xB0],54 [BYTE] [0xC5],55 [USHORT] [0xB8],56 [UBYTE] [0xC0],57 [UBYTE] [0xC1],58 [UBYTE] [0xC2],59 [UBYTE] [0xC3],60 [UBYTE] [0xC4],61 [USHORT] [0xBA],62 [USHORT] [0xBC],63 [BBOOL] [0xC6],64 [BBOOL] [0xC6]
0,"",0,"",0,0,1,0,0,"","","",0,0,-1.0,30.0,12.0,6.0,2.4,6.0,2.4,2.4,12.56,1.57,3.0,12.56,60.0,30.0,60.0,6.0,6.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,"","","",10,10,true,0,0,0,0,-1,0,0,100,0,0,0,0,0,false,false
1,"专属陆行鸟",0,"",0,0,1,0,0,"骑上专属陆行鸟。<br>大国防联军对士兵们统一配备的军用陆行鸟。","伊修加德产军用陆行鸟。除常见的旅行种以外，还有能够承载鲁加族的大型狩猎种以及专门为拉拉菲尔族改良的贝拉哈迪亚小型种等种类。","陆行鸟是一种很坚强的<br>生物，不过它们也是有<br>极限的。<br>　　　　　——米米古恩",1,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,0,4401,1,100,0,0,0,0,0,false,false
2,"",0,"",0,0,1,0,0,"","","",1,3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,0,false,false
3,"",0,"",0,0,1,0,0,"","","",1,3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,true,65552,65552,65537,0,-1,0,0,100,0,0,0,0,0,false,false
4,"古菩猩猩",0,"",0,0,1,0,0,"骑上古菩猩猩。<br>使用神奇的号角可以召唤出巨大的古菩猩猩。","异国的诗人为了表示谢意，赠予了冒险者一把魔法的角笛，可以召唤出这只古菩猩猩。虽然这种动物并不温顺，但独自徘徊在艾欧泽亚的这只古菩猩猩却因为喜爱诗人的歌声，而跟随着他一起旅行。","真希望我能够长得像那<br>只古菩猩猩一样高大。<br>——娜娜莫·乌尔·娜莫",200,4,-1.0,30.0,12.0,9.0,2.0,9.0,1.6,2.0,12.56,1.57,3.0,12.56,60.0,30.0,60.0,3.0,2.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,1,4403,4,100,0,0,0,2437,0,false,true
5,"遗产陆行鸟",0,"",0,0,1,0,0,"骑上遗产陆行鸟。<br>灵灾和5年的时光也无法切断当年的情感，只要一声口哨，遗产陆行鸟便会再次出现。","因为贤者路易索瓦的秘术，被送往次元缝隙的冒险者们穿越了5年的时光终于能和这只陆行鸟再会。经历了长期无主的流浪生活，这只陆行鸟已经成长得非常勇悍，风貌上别具一格。","去寻找你当年所骑的那<br>只陆行鸟吧，并且一定<br>要再次骑上它。<br>　　　　　　——赛弗林",1,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,0,false,false
6,"魔导装甲",0,"",0,0,1,0,0,"搭乘魔导装甲。<br>缴获的帝国魔导装甲在西德改良之后变得更加实用了。","加雷马帝国军制式配备的骑乘用魔导装甲“死神”型。西德等人用魔法人偶的核心作为控制装置，对这台缴获的装甲进行了各种改造，现在可以说是加隆德炼铁厂式样了。","做得好！<br>魔导装甲是我们的了！<br>　　　——西德·加隆德",2,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,3,4406,3,77,0,0,0,2434,2435,false,true
7,"",0,"",0,0,1,0,0,"","","",311,5,-1.0,24.0,9.6,9.0,1.0,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","",0,0,true,0,1,0,0,-1,0,0,100,0,0,0,0,0,false,false
8,"长须豹",0,"",0,0,1,0,0,"骑上长须豹。<br>只有从小培养的长须豹才会把人类认成朋友而不是食物。","年轻而敏捷的长须豹。野生的长须豹是非常凶猛的魔兽，但在其原产地的近东地区也发展出了独特的驯养法。这只长须豹好像是在萨维奈岛接受过作为坐骑的训练。","哎哟！看上去太帅了！<br>抓到我的长须豹了吗？<br>　　　　——斯威古雷尔",70,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,true,0,1,0,0,4,4405,5,60,0,0,0,0,0,false,false
9,"冥鬼之眼",0,"",0,0,1,0,0,"骑上冥鬼之眼。<br>通过强力的魔法对冥鬼之眼加以束缚，这个魔法永远不会失效。","长有翅膀的独眼魔物。根据妖异学者们的分类，是属于妖异十二阶中第5位的中阶妖异。用动物的眼球作媒介可以将其从异界召唤出来，通过强力的魔法加以束缚后可以进行使唤。","记得千万不要给它戴上<br>眼罩，不然它就找不到<br>营地了。<br>　　　　　　——巴德龙",167,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,true,0,1,0,0,5,4404,6,100,0,0,0,0,0,true,false
10,"",0,"",0,0,1,0,0,"","","",1,3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65536,65536,65537,0,-1,0,0,100,0,0,0,0,0,false,false
11,"",0,"",0,0,1,0,0,"","","",1,3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65538,65541,65537,65538,-1,0,0,100,0,0,0,0,0,false,false
12,"",0,"",0,0,1,0,0,"","","",1,3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65538,131077,65537,65538,-1,0,0,100,0,0,0,0,0,false,false
13,"",0,"",0,0,1,0,0,"","","",1,3,-1.0,24.0,9.6,9.0,3.2,8.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","SE_Bt_Etc_ChocoboBye",20,20,true,65538,196613,65537,65538,-1,0,0,100,0,0,0,0,0,false,false
14,"",0,"",0,0,1,0,0,"","","",2,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,65537,0,0,-1,0,0,77,0,0,0,0,0,false,false
15,"独角兽",0,"",0,0,1,0,0,"骑上独角兽。<br>在黑衣森林中偶遇的纯白独角兽。","在黑衣森林中偶遇的纯白独角兽。独角兽原产自库尔札斯，在当地也是非常罕见，不知为何会迷路进了森林。因为感激冒险者帮它治伤，成为了冒险者的好伙伴。","你们那些所谓的宝马，<br>不过就是一些秃着脑袋<br>的独角兽而已。<br>　——陆行鸟运输组合长",534,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,6,4407,200,65,0,0,0,0,0,false,false
16,"",0,"",0,0,1,0,0,"","","",2,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,196609,0,0,-1,0,0,77,0,0,0,0,0,false,false
17,"",0,"",0,0,1,0,0,"","","",2,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,131073,0,0,-1,0,0,77,0,0,0,1128,1129,false,false
18,"贝希摩斯",0,"",0,0,1,0,0,"骑上贝希摩斯。<br>在很小的时候就接受了人类的驯养，不会对人发动攻击的啦。","冒险者行会赠给冒险者的强力坐骑。灵灾之后，一名冒险者在库尔札斯的深山捡到了这只被父母遗弃的贝希摩斯幼崽。付出心血将其养大后，这只巨兽奇迹般地很亲近人类。","你要牢记一点，那<br>就是千万不要去招<br>惹贝希摩斯。<br>　　　　——莫莉丝",588,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,121,"SE_Bt_Etc_BehemothWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BehemothBye",20,10,true,0,1,0,0,7,4408,7,55,0,0,0,0,0,false,false
19,"兵队火蛟",0,"",0,0,1,0,0,"骑上兵队火蛟。<br>灰党所培育的战斗火蛟坐骑。","灰党培育的战斗火蛟坐骑。从小就接受蜥蜴人族驯兽人的严格训练，吃着成年火蛟的火炎袋长大，被驯服的同时兼具野性。","哈哈哈哈，一只迷路走<br>进了火蛟巢穴的小猫。<br>　　　　——扎古兹·地",592,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,true,0,1,0,0,8,4409,8,100,0,0,0,2436,0,false,true
20,"月桂冠古菩猩猩",0,"",0,0,1,0,0,"骑上月桂冠古菩猩猩。<br>暂留地妖精们的大块头朋友。","暂留地妖精们的大块头朋友。因为坏妖精们的恶作剧，头部的植物被拔走，变成了秃子。暂留地妖精们看它可怜，用花草给它编了头冠，由此结下了友谊。","在古菩猩猩的头上调皮<br>捣蛋是最最令人兴奋的<br>游戏了呼啾。<br>　　　　　　　——常识",593,4,-1.0,30.0,12.0,9.0,2.0,9.0,1.6,2.0,12.56,1.57,3.0,12.56,60.0,30.0,60.0,3.0,2.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,9,4410,4,100,0,0,0,2437,0,false,true
21,"魔导装甲丙型",0,"",0,0,1,0,0,"搭乘魔导装甲丙型。<br>金黄色的外装甲能够抵抗住大多数魔法，对异性也很有吸引力。","加雷马帝国军秘密开发的改良型“死神”。金色的装甲是用了新开发的特殊涂料，可以抵抗艾欧泽亚同盟军使用的魔法攻击。","你怎么把机器扔那就跑<br>过来了！<br>　　　　　　——比格斯",2,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_MadoBye",0,10,true,0,262145,0,0,10,4411,3,77,0,0,0,0,0,false,false
22,"梦魇",0,"",0,0,1,0,0,"骑上梦魇。<br>经过驯养的妖马，要小心其好战的性格。","经过驯养的妖马“梦魇”。是由“无影”带给蛮族们的，详细的情况不明。性格好战，但对持有魔法笛的人会无条件地服从。","既然梦魇成真，便要做<br>好混沌将至的准备。<br>　　　　　——于里昂热",594,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,11,4412,200,65,0,0,0,0,0,false,false
23,"",0,"",0,0,1,0,0,"","","",592,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,true,0,1,0,0,-1,0,0,100,0,0,0,1764,0,false,false
24,"",0,"",0,0,1,0,0,"","","",593,4,-1.0,30.0,12.0,9.0,2.0,9.0,1.6,2.0,12.56,1.57,3.0,12.56,60.0,30.0,60.0,3.0,2.4,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,true,0,1,0,0,-1,0,0,100,0,0,0,1765,0,false,false
25,"胖陆行鸟",0,"",0,0,1,0,0,"骑上胖陆行鸟。<br>即使是陆行鸟的头头也不得不为了食物奔波啊。","为了食物而奔波的陆行鸟老大。如果用笛子召唤它，始终都会是一副好像要说“不要没事乱吹笛”的态度。不过一旦最喜欢的基萨尔野菜挂在眼前，它就抛弃了一切的矜持，全心全意地开始奔跑。","咕……咕……还差点！<br>　　　　　——胖陆行鸟",643,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,false,0,1,0,0,12,4413,2,100,0,0,0,0,0,false,false
26,"兵队水龙蜥",0,"",0,0,1,0,0,"骑上兵队水龙蜥。<br>海兽驯养人帕阿所培育的水龙蜥。","诺布一伙里的海兽驯养人帕阿培育出的水龙蜥坐骑。在陆地上行走的话蹼会碍事，所以在蹼上做出切口，使得它拥有了不输给陆行鸟的速度，代价则是无法再在海里游泳。","水龙蜥已经准备好了。<br>　　　　——海兽驯养人",689,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,true,0,1,0,0,13,4414,9,100,0,0,0,0,0,false,false
27,"爆弹吊椅",0,"",0,0,1,0,0,"坐上爆弹吊椅。<br>由气体生物爆弹怪撑起的吊椅，坐着的时候一定要注意火烛。","第789团辅祭巴戈制作的爆弹怪里有一些爆炸力马马虎虎的，被判定为失败作。这些失败作品被用来牵引这个吊椅。不过它们毕竟还是爆弹怪，乘坐时一定要小心火烛。","打中的话 很痛的哦！<br>俺发火了！<br>　　　　　——小哥布林",644,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121,"SE_Bt_Etc_BomKikyuuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BomKikyuuBye",20,10,true,0,1,0,0,14,4415,10,100,0,0,0,0,0,true,false
28,"火妖马埃驮恩",0,"",0,0,1,0,0,"骑上火妖马埃驮恩<br>受到火神祝福的妖马，呼吸中都带有滚烫的热流。","受到火神伊弗利特祝福的妖马，身缠熊熊烈火。很可能是蜥蜴人族将妖马梦魇献祭给蛮神时产生出来的。呼吸中带有宛如地狱业火的热流。","仰天长嘶鸣，<br>一骑绝尘无踪影，<br>烈马向前行。<br>　　　　——马奉行",713,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,15,4416,200,65,0,0,0,0,0,false,false
29,"风妖马刻桑图司",0,"",0,0,1,0,0,"骑上风妖马刻桑图司<br>受到风神祝福的妖马，奔跑的时候犹如随风起舞。","受到风神迦楼罗祝福的妖马，身缠凛冽狂风。很可能是鸟人族将妖马梦魇献祭给蛮神时产生出来的。跑动时宛如疾风掠过。","仰天长嘶鸣，<br>一骑绝尘无踪影，<br>烈马向前行。<br>　　　　——马奉行",714,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,16,4417,200,65,0,0,0,0,0,false,false
30,"土妖马古尔法克西",0,"",0,0,1,0,0,"骑上土妖马古尔法克西<br>受到土神祝福的妖马，矫健的四足铿锵有力落地有声。","受到土神泰坦祝福的妖马，身缠熔岩。很可能是地灵族将妖马梦魇献祭给蛮神时产生出来的。坚实的脚步可以撼动大地。","仰天长嘶鸣，<br>一骑绝尘无踪影，<br>烈马向前行。<br>　　　　——马奉行",715,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,17,4418,200,65,0,0,0,0,0,false,false
31,"水妖马艾恩巴尔",0,"",0,0,1,0,0,"骑上水妖马艾恩巴尔<br>受到水神祝福的妖马，传说中它诞生于魔力水泡。","受到水神利维亚桑祝福的妖马，身缠水流漩涡。很可能是鱼人族将妖马梦魇献祭给蛮神时产生出来的。传说中它诞生于魔力水泡。","仰天长嘶鸣，<br>一骑绝尘无踪影，<br>烈马向前行。<br>　　　　——马奉行",716,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,18,4419,200,65,0,0,0,0,0,false,false
32,"战狮",0,"",0,0,1,0,0,"骑上战狮。<br>专门为了战斗而训练的军用狮子，相当有百兽之王的风范。","专门为了战斗而训练的军用狮子。萨纳兰地区虽然没有野生的狮子，但过去却通过交易从近东进口了一些，曾经被近卫兵团“银胄团”训练为坐骑。现在已经是非常少见。","听闻狮子会将自己的孩<br>子推下千丈悬崖。吾等<br>也一样。<br>　　　　　——哈姆基·夏",721,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,0.6,0.5,0.63,0.56,0.25,0.25,0.54,0.47,0.66,0.62,0.72,0.46,121,"SE_Bt_Etc_LionWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_LionBye",20,10,true,0,1,0,0,19,4420,11,45,13,4,0,0,0,false,false
33,"战熊",0,"",0,0,1,0,0,"骑上战熊。<br>专门为了战斗而训练的军用大熊，已经从数个战场上生存而归。","专门为了战斗而训练的军用大熊。在北方的阿巴拉提亚山脉深处，有着和蛮熊角力、将其打倒后加以驯服的习俗。因此，在古代勇猛战士们的传说里面，经常会有战熊出场。","这里的魔兽都是我养的。<br>　　　　　　　——驯兽员",719,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,0.8,0.72,0.84,0.8,0.5,0.5,0.72,0.68,0.88,0.88,0.96,0.66,121,"SE_Bt_Etc_KumaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KumaBye",20,10,true,0,1,0,0,20,4421,12,65,12,3,0,0,0,false,false
34,"大陆行鸟",0,"",0,0,1,0,0,"骑上大陆行鸟。<br>体格非常结实的大型陆行鸟。甚至能够驮动两个人。","一位库尔札斯出身的陆行鸟猎人在陆行鸟之森中捕获到的野生品种。身体素质远远超过牧场驯养的那些鸟，也有着很高的运输能力，只可惜品性过于狂野，不适合供人骑乘。不过在驯养员的苦心之下好像已经被训练成可以同时乘坐两人了。","这也是对你们冒险者团<br>结力的考验。<br>　——特务队长里巴尔德",1,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65563,65563,65563,65563,21,4422,1,100,0,0,1,0,0,false,false
