Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [UBYTE] [0x8],3 [BOOL] [0x9]
0,"","",0,true
1,"general01f","general01_pf",0,true
2,"general02f","general02_pf",4,true
3,"gl_fan060_0f","gl_fan060_0pf",3,true
4,"gl_fan090_0f","gl_fan090_0pf",3,true
5,"gl_fan120_0f","gl_fan120_0pf",3,true
6,"m0096sp_05c1s","",2,true
7,"m0096sp_06c2s","",2,true
8,"m0098sp04cx0t","",2,true
9,"m0098sp07cx0t","",4,true
10,"m0077sp03o0m","",4,true
11,"m0077sp03o1m","",4,true
12,"gl_sircle_1907af","",2,true
13,"gl_sircle_3004af","",2,true
14,"gl_sircle_5003af","",2,true
15,"gl_fan270_0100af","",3,true
16,"gl_fan270_1005af","",3,true
17,"gl_fan270_1510af","",3,true
18,"sandpilr1o0c","",2,true
19,"m0063gt_loop_0m","",2,true
20,"m0057sp09cx0s","",2,true
21,"m0062sp_03o0s","",2,false
22,"taihuunome0m","",2,true
23,"tatumaki0m","",2,true
24,"m063sp019o0c","",4,true
25,"m0031sp03o0c","",4,true
26,"m0099sp_03o0t","",4,true
27,"gl_shipimpact0f","",2,true
28,"gl_fan150_0f","gl_fan150_0pf",3,true
29,"d1006_meteo1m","",2,true
30,"d1006_sp04o1m","",2,true
31,"m0172sp05o0c","",4,true
32,"m0095sp16o0c","",3,true
33,"m0073_mijingiri1m","",4,true
34,"m0073_wagiri1m","",3,true
35,"m0073_wagiri2m","",3,true
36,"m0073_wagiri3m","",3,true
37,"m0073_wagiri4m","",3,true
38,"m0073_ougigiri1m","",3,true
39,"m0073_jiraisin1m","",2,true
40,"undeadraise1o0h","",2,true
41,"rinsen_s_omen","",3,true
42,"rinsen_m_omen","",3,true
43,"rinsen_l_omen","",3,true
44,"leviathan_mizubakudan1t0h","",2,true
45,"neil_jiware_o0t","",3,true
46,"bahamut2_bomu_omen0s","",2,true
47,"m0171sp05o0c","",2,true
48,"d1006_delta1m","",3,true
49,"d1006_overpowaer1m","",3,true
50,"","",0,true
