Index,0 [BBOOL] [0x9],1 [BBOOL] [0x9],2 [UBYTE] [0x8],3 [STRING] [0x0],4 [UINT] [0x4]
0,false,false,0,"",0
1,false,false,0,"游戏制作人",61531
2,false,false,0,"游戏管理员",61524
3,false,false,0,"游戏管理员",61532
4,false,false,0,"游戏管理员",61533
5,false,false,0,"通信切断",61503
6,true,false,1,"临时好友",61501
7,true,false,2,"临时加入",61501
8,true,false,3,"临时加入",61501
9,true,false,4,"不存在",61502
10,true,false,5,"离线",61504
11,true,false,6,"指导者",61540
12,true,false,7,"忙碌中",61509
13,true,false,8,"对战任务中",61510
14,true,false,9,"幻卡对局中",61539
15,true,false,10,"过场动画中",61508
16,true,false,12,"陆行鸟运输骑乘中",61534
17,true,false,13,"离开",61511
18,true,false,14,"观景模式中",61546
19,true,false,15,"请求修理",61512
20,true,false,16,"提供修理",61513
21,true,true,17,"接受镶嵌魔晶石请求",61514
22,true,false,18,"角色扮演中",61545
23,true,false,19,"希望组队",61515
24,true,false,20,"佣兵",61516
25,true,false,21,"任务搜索申请中",61517
26,true,false,22,"队员招募中",61536
27,true,false,31,"指导者",61540
28,true,false,32,"战斗指导者",61542
29,true,false,33,"制作采集指导者",61543
30,true,false,34,"对战指导者",61544
31,true,false,35,"回归者",61547
32,true,false,36,"新人",61523
33,true,false,23,"团队队长",61518
34,true,false,24,"团队小队长",61519
35,true,false,25,"团队队员",61520
36,true,false,26,"小队队长",61521
37,true,false,27,"小队队员",61522
38,true,true,28,"跨服小队队长",61961
39,true,true,29,"跨服小队队员",61962
40,true,false,30,"封闭任务中",61535
41,false,false,0,"同队任务中",61506
42,false,false,0,"同一任务的其他队伍中",61507
43,true,false,11,"任务中",61510
44,true,false,38,"试玩期新人",61525
45,false,false,0,"部队",0
46,false,false,0,"军队",0
47,true,false,37,"在线",61505
