Index,0 [STRING] [0x0],1 [STRING] [0x4]
0,"",""
1,"雪风","金碟游乐场交换"
2,"水车低鸣","格里达尼亚出售"
3,"伟大的母港","利姆萨·罗敏萨出售"
4,"希望之都","乌尔达哈出售"
5,"监牢","伊修加德出售"
6,"沙之家","萨纳兰出售"
7,"曼德维尔金碟游乐场","金碟游乐场交换"
8,"陆行鸟竞赛","金碟游乐场交换"
9,"再来一杯！","道具制作
主要素材：摩杜纳交换"
10,"华彩的山麓","道具制作
主要素材：龙堡参天高地的恶名精英处获得"
11,"云中匿影","道具制作
主要素材：阿巴拉提亚云海的恶名精英处获得"
12,"水晶序曲　～冒险的序章～","成就“旋律的沉醉者1”报酬"
13,"非著名调查员","金碟游乐场交换"
14,"唯一的行路","道具制作
主要素材：寻宝获得"
15,"走向世界","道具制作
主要素材：飞空艇探索获得"
16,"啪啪呀","季节活动报酬"
17,"坚毅","伊修加德交换"
18,"以血洗血","道具制作
主要素材：狼狱水上竞技场交换"
19,"饿狼群集","道具制作
主要素材：狼狱水上竞技场交换"
20,"激潮","道具制作
主要素材：“天然要害沙斯塔夏溶洞”或“逆转要害沙斯塔夏溶洞”获得"
21,"漆黑的誓言","道具制作
主要素材：“地下灵殿塔姆·塔拉墓园”或“惨剧灵殿塔姆·塔拉墓园”获得"
22,"黑暗的拥抱","道具制作
主要素材：“封锁坑道铜铃铜山”或“骚乱坑道铜铃铜山”获得"
23,"风暴中的灯火","道具制作
主要素材：“领航明灯天狼星灯塔”或“地脉灵灯天狼星灯塔”获得"
24,"异想天开","道具制作
主要素材：“血战苍穹魔科学研究所”获得"
25,"上下易位","道具制作
主要素材：“星海空间颠倒塔”获得"
26,"魔大战的伤痕","道具制作
主要素材：“腐坏遗迹无限城市街古迹”或“神圣遗迹无限城市街古迹”获得"
27,"天降之力","金碟游乐场交换"
28,"究极神兵","成就“旋律的沉醉者2”报酬"
29,"诸神已死","道具制作
主要素材：“究极神兵破坏作战”获得
（以最低品级参加时获得概率上升）"
30,"原始的审判","道具制作
主要素材：“伊弗利特歼殛战”获得
（以最低品级参加时获得概率上升）"
31,"堕天使","道具制作
主要素材：“迦楼罗歼殛战”获得
（以最低品级参加时获得概率上升）"
32,"重压灭顶","道具制作
主要素材：“泰坦歼殛战”获得
（以最低品级参加时获得概率上升）"
33,"英杰","道具制作
主要素材：“圆桌骑士幻想歼灭战”获得
（以最低品级参加时获得概率上升）"
34,"魔神","道具制作
主要素材：“萨菲洛特歼殛战”获得
（以最低品级参加时获得概率上升）"
35,"傲慢","道具制作
主要素材：“水晶塔 古代人迷宫”获得"
36,"一落千丈","道具制作
主要素材：“水晶塔 古代人迷宫”获得"
37,"多加与乌内之心","道具制作
主要素材：“水晶塔 希尔科斯塔”获得"
38,"绚烂","道具制作
主要素材：“水晶塔 希尔科斯塔”获得"
39,"暗淡","道具制作
主要素材：“水晶塔 暗之世界”获得"
40,"最后的死斗　～重生～","道具制作
主要素材：“水晶塔 暗之世界”获得"
41,"悠久之风　～重生～","道具制作
主要素材：“水晶塔 古代人迷宫”、
“水晶塔 希尔科斯塔”、“水晶塔 暗之世界”获得"
42,"雷鸣","道具制作
主要素材：“巴哈姆特大迷宫 邂逅之章5”获得
（以最低品级参加时获得概率上升）"
43,"白银凶鸟展翅翱翔","道具制作
主要素材：“巴哈姆特大迷宫 入侵之章4”获得
（以最低品级参加时获得概率上升）"
44,"死灰复燃","道具制作
主要素材：“巴哈姆特大迷宫 真源之章3”获得
（以最低品级参加时获得概率上升）"
45,"Answers　-生死答问-","道具制作
主要素材：“巴哈姆特大迷宫 邂逅之章5”、
“巴哈姆特大迷宫 入侵之章4”、“巴哈姆特大迷宫 真源之章4”获得
（以最低品级参加时获得概率上升）"
46,"斗争","田园郡交换"
47,"挥汗如雨","伊修加德交换"
48,"女王的美梦","乌尔达哈出售"
49,"水手不眠","利姆萨·罗敏萨出售"
50,"萤火之舞","格里达尼亚出售"
51,"位高责重","伊修加德出售"
52,"玛托雅的洞窟　～苍穹～","玛托雅的洞穴出售"
53,"歇宿","尾羽集落出售"
54,"迎风","道具制作
主要素材：库尔札斯西部高地的恶名精英处获得"
55,"人王","道具制作
主要素材：翻云雾海的恶名精英处获得"
56,"缺失的书页","道具制作
主要素材：龙堡内陆低地的恶名精英处获得"
57,"灼热之地","乌尔达哈出售"
58,"乘上西风","利姆萨·罗敏萨出售"
59,"沉静","格里达尼亚出售"
60,"红莲节","季节活动报酬"
61,"Heavensward　-飞向苍穹-","季节活动报酬"
62,"密道","“凛冽洞天披雪大冰壁”获得"
63,"凶兆","田园郡交换"
64,"万世箴言","“学识宝库迦巴勒幻想图书馆”获得"
65,"坚不可摧","“博物战舰无限回廊”获得"
66,"谢罪之诗","“天龙宫殿忆罪宫”获得"
67,"越过地平线","“财宝传说破舰岛”或“黑涡传说破舰岛”获得"
68,"水手遇难","道具制作
主要素材：“利维亚桑歼殛战”获得
（以最低品级参加时获得概率上升）"
69,"混沌的漩涡","道具制作
主要素材：“利维亚桑歼殛战”获得
（以最低品级参加时获得概率上升）"
70,"贤王莫古尔·莫古十二世","道具制作
主要素材：“莫古力贤王歼殛战”获得
（以最低品级参加时获得概率上升）"
71,"绝命怒嚎","道具制作
主要素材：“尼德霍格传奇征龙战”获得
（以最低品级参加时获得概率上升）"
72,"大桥上的死斗　～重生～","道具制作
主要素材：“大桥上的决斗”或“无限城的死斗”获得"
73,"死斗　～苍穹～","金碟游乐场交换"
74,"苍翼","道具制作
主要素材：飞空艇探索获得"
75,"艾欧泽亚的守护者","成就“旋律的沉醉者3”报酬"
76,"拉诺西亚的疾风","“水城宝物库”获得"
77,"大地低语","“水城宝物库”获得"
78,"萨纳兰的黄昏","“水城宝物库”获得"
79,"Dragonsong　-千年龙诗-","主线任务报酬"
80,"守护天节","季节活动报酬"
81,"彻夜狂欢","季节活动报酬"
82,"",""
83,"",""
84,"第七星历","成就“旋律的沉醉者5”报酬"
85,"熏灰","灰阵营出售"
86,"豁达的家","西风岛出售"
87,"贵族沉眠","伊修加德出售"
88,"夜雾缭绕","伊修加德出售"
89,"安乐小屋","艾欧泽亚三国出售"
90,"倒影","摩杜纳交换"
91,"天上世界","道具制作
主要素材：阿巴拉提亚云海的恶名精英处获得"
92,"库尔札斯的寂静","“水城宝物库”获得"
93,"心灵的归处","住宅区出售"
94,"家园","田园郡出售"
95,"灾厄蔓延","“水城宝物库”获得"
96,"战斗1.X","金碟游乐场交换"
97,"",""
98,"",""
99,"",""
100,"",""
101,"永眠","“天山绝顶索姆阿尔灵峰”获得"
102,"银泪","“幻龙残骸密约之塔”获得"
103,"地壳","任务报酬"
104,"雪上的足迹","道具制作
主要素材：“希瓦歼殛战”获得
（以最低品级参加时获得概率上升）"
105,"忘却的彼岸","道具制作
主要素材：“希瓦歼殛战”获得
（以最低品级参加时获得概率上升）"
106,"电闪雷鸣","道具制作
主要素材：“拉姆歼殛战”获得
（以最低品级参加时获得概率上升）"
107,"平衡","道具制作
主要素材：“索菲娅歼殛战”获得
（以最低品级参加时获得概率上升）"
108,"父子之罪","任务报酬"
109,"轨迹","任务报酬"
110,"金属","任务报酬"
111,"金属 - 正义无情","任务报酬"
112,"指数崩坏","任务报酬"
113,"起义","任务报酬"
114,"",""
115,"",""
116,"",""
117,"",""
118,"",""
119,"",""
