Index,0 [USHORT] [0x0],1 [UBYTE] [0x4],2 [USHORT] [0x2]
0,0,0,0
1,3,6,2
2,5,2,1
3,6,2,2
4,7,2,3
5,8,2,4
6,9,2,5
7,14,2,9
8,15,2,10
9,12,2,8
10,10,2,6
11,11,2,7
12,1,6,1
13,13,6,4
14,16,6,5
15,17,6,6
16,1000,7,65535
17,18,6,7
18,20,6,9
19,21,6,10
20,26,3,5
21,25,3,4
22,23,3,2
23,22,3,1
24,27,3,6
25,28,3,7
26,24,3,3
27,2,4,1
28,29,4,2
29,30,4,3
30,31,4,4
31,32,4,5
32,33,4,6
33,34,4,7
34,35,4,8
35,36,5,1
36,37,5,2
37,39,5,4
38,38,5,3
39,40,5,5
40,41,5,6
41,42,5,7
42,43,5,8
43,44,5,9
44,45,5,10
45,46,5,11
46,4,6,3
47,19,6,8
48,49,2,13
49,47,2,11
50,48,2,12
51,50,2,14
52,51,2,15
53,52,2,16
54,53,2,17
55,54,2,18
56,55,2,19
57,58,2,22
58,56,2,20
59,57,2,21
60,1001,7,65535
61,1002,7,65535
62,62,3,9
63,60,6,11
64,63,3,10
65,64,3,11
66,65,3,12
67,61,3,8
68,66,4,9
69,67,4,10
70,68,4,11
71,69,4,12
72,70,4,13
73,71,4,14
74,72,6,12
75,73,6,13
76,74,2,23
77,75,2,24
78,76,2,25
79,77,6,14
80,1003,7,65535
81,1004,7,65535
82,1005,7,65535
83,1006,7,65535
84,80,6,15
85,84,2,30
86,85,2,31
87,81,2,27
88,82,2,28
89,86,2,32
90,87,2,33
91,83,2,29
92,80,2,26
93,88,2,34
94,89,2,35
95,81,6,16
96,82,6,17
97,70,3,16
98,72,3,18
99,71,3,17
100,73,3,19
101,67,3,14
102,66,3,13
103,68,3,15
104,80,4,15
105,81,4,16
106,82,4,17
107,83,4,18
108,47,5,12
109,48,5,13
110,49,5,14
111,50,5,15
112,51,5,16
113,52,5,17
114,2034,8,65535
115,2035,8,65535
116,1007,7,65535
117,90,2,36
118,91,2,37
119,92,2,38
120,93,2,39
121,94,2,40
122,95,2,41
123,86,6,21
124,87,6,22
125,88,6,23
126,89,6,24
127,84,6,19
128,85,6,20
129,83,6,18
130,74,3,20
131,75,3,21
132,76,3,22
133,84,4,19
134,85,4,20
135,86,4,21
136,87,4,22
137,88,4,23
138,89,4,24
139,54,5,19
140,55,5,20
141,53,5,18
142,56,5,21
143,57,5,22
144,58,5,23
145,59,5,24
146,60,5,25
147,61,5,26
