Index,0 [USHORT] [0x8],1 [STRING] [0x0],2 [INT] [0x4],3 [UBYTE] [0xA]
0,0,"",0,0
1,6315,"1 (-1)",715,1
2,6322,"♯1 (-1)",722,4
3,6316,"2 (-1)",716,7
4,6323,"♭3 (-1)",723,10
5,6317,"3 (-1)",717,13
6,6318,"4 (-1)",718,16
7,6324,"♯4 (-1)",724,19
8,6319,"5 (-1)",719,22
9,6325,"♯5 (-1)",725,25
10,6320,"6 (-1)",720,28
11,6326,"♭7 (-1)",726,31
12,6321,"7 (-1)",721,34
13,6327,"1",701,2
14,6334,"♯1",709,5
15,6328,"2",702,8
16,6335,"♭3",710,11
17,6329,"3",703,14
18,6330,"4",704,17
19,6336,"♯4",711,20
20,6331,"5",705,23
21,6337,"♯5",712,26
22,6332,"6",706,29
23,6338,"♭7",713,32
24,6333,"7",707,35
25,6339,"1 (+1)",708,3
26,6346,"♯1 (+1)",714,6
27,6340,"2 (+1)",727,9
28,6347,"♭3 (+1)",734,12
29,6341,"3 (+1)",728,15
30,6342,"4 (+1)",729,18
31,6348,"♯4 (+1)",735,21
32,6343,"5 (+1)",730,24
33,6349,"♯5 (+1)",736,27
34,6344,"6 (+1)",731,30
35,6350,"♭7 (+1)",737,33
36,6345,"7 (+1)",732,36
37,6351,"1 (+2)",733,37
