Index,0 [BOOL] [0x0],1 [BOOL] [0x1],2 [BOOL] [0x2],3 [BOOL] [0x3],4 [BOOL] [0x4],5 [BOOL] [0x5],6 [BOOL] [0x6],7 [BOOL] [0x7],8 [BOOL] [0x8],9 [BOOL] [0x9],10 [BOOL] [0xA],11 [BOOL] [0xB],12 [BOOL] [0xC],13 [BOOL] [0xD],14 [BOOL] [0xE],15 [BOOL] [0xF],16 [BOOL] [0x10],17 [BOOL] [0x11],18 [BOOL] [0x12],19 [BOOL] [0x13],20 [BOOL] [0x14],21 [BOOL] [0x15],22 [BOOL] [0x16],23 [BOOL] [0x17],24 [BOOL] [0x18],25 [BOOL] [0x19],26 [BOOL] [0x1A],27 [BOOL] [0x1B],28 [BOOL] [0x1C],29 [BOOL] [0x1D],30 [BOOL] [0x1E],31 [BOOL] [0x1F],32 [BOOL] [0x20],33 [BOOL] [0x21],34 [BOOL] [0x22],35 [BOOL] [0x23],36 [BOOL] [0x24],37 [BOOL] [0x25],38 [BOOL] [0x26],39 [BOOL] [0x27],40 [BOOL] [0x28],41 [BOOL] [0x29],42 [BOOL] [0x2A],43 [BOOL] [0x2B],44 [BOOL] [0x2C],45 [BOOL] [0x2D],46 [BOOL] [0x2E],47 [BOOL] [0x2F],48 [BOOL] [0x30],49 [BOOL] [0x31],50 [BOOL] [0x32],51 [BOOL] [0x33],52 [BOOL] [0x34],53 [BOOL] [0x35],54 [BOOL] [0x36],55 [BOOL] [0x37],56 [BOOL] [0x38],57 [BOOL] [0x39],58 [BOOL] [0x3A],59 [BOOL] [0x3B],60 [BOOL] [0x3C],61 [BOOL] [0x3D],62 [BOOL] [0x3E],63 [BOOL] [0x3F],64 [BOOL] [0x40],65 [BOOL] [0x41],66 [BOOL] [0x42],67 [BOOL] [0x43],68 [BOOL] [0x44],69 [BOOL] [0x45],70 [BOOL] [0x46],71 [BOOL] [0x47],72 [BOOL] [0x48],73 [BOOL] [0x49],74 [BOOL] [0x4A],75 [BOOL] [0x4B],76 [BOOL] [0x4C],77 [BOOL] [0x4D],78 [BOOL] [0x4E],79 [BOOL] [0x4F]
0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,true,true,false,true,false,false,true,false,false,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true
4,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true
5,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,true
6,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true
7,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,true
8,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,true,true,true,true,true,true
9,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,true,false,true,false,true,true,true,true,true,false,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true
10,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true
11,true,true,false,true,false,false,true,false,false,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true
12,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,true,true,true,true,true,true
13,true,true,false,true,false,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,true
14,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,true,true,true,true,true,true
15,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
