Index,0 [INT] [0x0],1 [INT] [0x4],2 [INT] [0x8]
0,0,0,0
1,16938,81001,1
2,16939,81002,1
3,16940,81003,1
4,16941,81004,1
5,16942,81005,1
6,16943,81008,1
7,16944,81009,1
8,16945,81013,1
9,16946,81052,1
10,16947,81053,1
11,16948,81055,1
12,16949,81060,1
13,16950,81061,1
14,16951,81101,1
15,16952,81102,1
16,16953,81103,1
17,16954,81106,1
18,16955,81109,1
19,16956,81110,1
20,16957,81111,1
21,17057,81006,1
22,17058,81007,1
23,17059,81010,1
24,17060,81011,1
25,17061,81012,1
26,17062,81014,1
27,17063,81015,1
28,17064,81016,1
29,17065,81017,1
30,17066,81018,1
31,17067,81019,1
32,17068,81021,1
33,17069,81022,1
34,17070,81023,1
35,17071,81024,1
36,17072,81051,1
37,17073,81054,1
38,17074,81056,1
39,17075,81057,1
40,17076,81058,1
41,17077,81059,1
42,17078,81062,1
43,17079,81063,1
44,17080,81064,1
45,17081,81065,1
46,17082,81066,1
47,17083,81067,1
48,17084,81068,1
49,17085,81069,1
50,17086,81104,1
51,17087,81105,1
52,17088,81107,1
53,17089,81108,1
54,17090,81112,1
55,17091,81113,1
56,17092,81114,1
57,17093,81115,1
58,17094,81116,1
59,17095,81117,1
60,17096,81118,1
61,17097,81119,1
62,17098,81120,1
63,17099,81121,1
64,17100,81122,1
65,17101,81123,1
66,17102,81124,1
67,17103,81151,1
68,17104,81152,1
69,17105,81153,1
70,17106,81154,1
71,17107,81155,1
72,17108,81156,1
73,17109,81157,1
74,17110,81158,1
75,17111,81159,1
76,17112,81201,1
77,17113,81202,1
78,17114,81203,1
79,17115,81204,1
80,17116,85001,2
81,17117,85002,2
82,17118,85003,2
83,17119,85004,2
84,17120,81020,1
85,17121,85006,2
86,17122,85007,2
87,17123,85008,2
88,17124,85009,2
89,17125,85010,2
90,17126,85011,2
91,17127,85012,2
92,17128,85013,2
93,17129,85014,2
94,17130,85015,2
95,17131,85016,2
96,17132,85017,2
97,17133,85018,2
98,17134,85019,2
99,17135,85020,2
100,17136,85005,2
101,20311,81026,1
102,20312,81027,1
103,20313,81028,1
104,20314,81029,1
105,20315,81030,1
106,20316,81031,1
107,20317,81032,1
108,20318,81033,1
109,20319,81034,1
110,20320,81035,1
111,20321,81036,1
112,20322,81037,1
113,20323,81038,1
114,20324,81039,1
115,20325,81040,1
116,20326,81041,1
117,20327,81042,1
118,20328,81043,1
119,20329,81044,1
120,20330,81045,1
121,20331,81046,1
122,20332,81076,1
123,20333,81077,1
124,20334,81078,1
125,20335,81079,1
126,20336,81080,1
127,20337,81081,1
128,20338,81082,1
129,20339,81083,1
130,20340,81084,1
131,20341,81085,1
132,20342,81086,1
133,20343,81087,1
134,20344,81088,1
135,20345,81089,1
136,20346,81090,1
137,20347,81091,1
138,20348,81092,1
139,20349,81093,1
140,20350,81094,1
141,20351,81095,1
142,20352,81096,1
143,20353,81097,1
144,20354,81098,1
145,20355,81099,1
