Index,0 [USHORT] [0x30],1 [FLOAT] [0x0],2 [FLOAT] [0x4],3 [FLOAT] [0x8],4 [FLOAT] [0xC],5 [FLOAT] [0x10],6 [FLOAT] [0x14],7 [FLOAT] [0x18],8 [FLOAT] [0x1C],9 [FLOAT] [0x20],10 [FLOAT] [0x24],11 [FLOAT] [0x28],12 [FLOAT] [0x2C]
0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.0,0.05,1.1,1.0,0.7,0.9,1.1,1.0,1.0,0.7,0.9,1.1
2,1,0.0,0.05,-1.5,1.0,0.7,0.9,1.3,1.0,1.0,0.7,0.9,1.3
3,1,-1.3,0.05,0.0,1.0,0.7,0.9,1.2,1.0,1.0,0.7,0.9,1.2
4,1,1.3,0.05,0.0,1.0,0.7,0.9,1.2,1.0,1.0,0.7,0.9,1.2
5,1,-0.8,-0.05,0.8,1.0,0.7,0.9,1.1,1.0,1.0,0.7,0.9,1.1
6,1,0.8,-0.05,0.8,1.0,0.7,0.9,1.1,1.0,1.0,0.7,0.9,1.1
7,1,-0.9,-0.05,-1.1,1.0,0.7,0.9,1.3,1.0,1.0,0.7,0.9,1.3
8,1,0.9,-0.05,-1.1,1.0,0.7,0.9,1.3,1.0,1.0,0.7,0.9,1.3
9,2,0.0,0.05,0.6,0.95,0.8,0.95,1.2,1.15,1.0,0.8,1.1,1.1
10,2,0.0,0.05,-0.8,0.95,0.9,0.95,1.3,1.2,1.05,0.9,1.1,1.2
11,2,-0.7,0.05,0.0,0.95,0.9,0.95,1.25,1.15,1.05,0.9,1.1,1.15
12,2,0.7,0.05,0.0,0.95,0.9,0.95,1.25,1.15,1.05,0.9,1.1,1.15
13,2,-0.4,-0.05,0.4,0.95,0.9,0.95,1.25,1.2,1.05,0.9,1.1,1.15
14,2,0.4,-0.05,0.4,0.95,0.9,0.95,1.25,1.2,1.05,0.9,1.1,1.15
15,2,-0.4,-0.05,-0.7,1.0,0.9,0.95,1.3,1.2,1.1,0.9,1.1,1.2
16,2,0.4,-0.05,-0.7,1.0,0.9,0.95,1.3,1.2,1.1,0.9,1.1,1.2
17,3,0.0,0.0,2.0,1.0,0.5,0.8,1.0,1.0,1.0,0.5,0.8,1.0
18,3,0.0,0.0,-2.3,1.0,0.6,0.8,1.2,1.0,1.0,0.6,0.8,1.2
19,3,-2.2,0.0,0.0,1.0,0.5,0.8,1.1,1.0,1.0,0.5,0.8,1.1
20,3,2.2,0.0,0.0,1.0,0.5,0.8,1.1,1.0,1.0,0.5,0.8,1.1
21,3,-1.4,-0.1,1.4,1.0,0.5,0.8,1.1,1.0,1.0,0.5,0.8,1.1
22,3,1.4,-0.1,1.4,1.0,0.5,0.8,1.1,1.0,1.0,0.5,0.8,1.1
23,3,-1.5,-0.1,-1.7,1.0,0.6,0.8,1.3,1.0,1.0,0.6,0.8,1.3
24,3,1.5,-0.1,-1.7,1.0,0.6,0.8,1.3,1.0,1.0,0.6,0.8,1.3
25,4,0.0,0.0,2.4,1.1,0.5,0.9,1.1,1.0,1.1,0.5,0.9,1.1
26,4,0.0,0.0,-2.7,1.1,0.6,0.9,1.3,1.0,1.1,0.6,0.9,1.3
27,4,-2.6,0.0,0.0,1.1,0.5,0.9,1.2,1.0,1.1,0.5,0.9,1.2
28,4,2.6,0.0,0.0,1.1,0.5,0.9,1.2,1.0,1.1,0.5,0.9,1.2
29,4,-1.8,0.0,1.8,1.1,0.5,0.9,1.1,1.0,1.1,0.5,0.9,1.1
30,4,1.8,0.0,1.8,1.1,0.5,0.9,1.1,1.0,1.1,0.5,0.9,1.1
31,4,-1.8,0.0,-2.0,1.1,0.6,0.9,1.3,1.0,1.1,0.6,0.9,1.3
32,4,1.8,0.0,-2.0,1.1,0.6,0.9,1.3,1.0,1.1,0.6,0.9,1.3
33,4,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,4,0.0,5.0,-5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,4,-5.2,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,4,5.2,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,4,-4.2,5.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,4,4.2,5.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,4,-4.2,5.0,-4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,4,4.2,5.0,-4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,4,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,4,0.0,0.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,4,-6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,4,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,4,-4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,4,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,4,-4.0,0.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,4,4.0,0.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1000,-0.3,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.2,1.0,0.9,1.6
50,1000,0.3,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.2,1.0,0.9,1.6
51,1000,-0.5,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.2,1.0,0.9,1.6
52,1000,0.5,0.15,-0.8,1.2,1.0,0.9,1.6,1.0,1.2,1.0,0.9,1.6
