Index,0 [UBYTE] [0x1A],1 [USHORT] [0x14],2 [UINT] [0x4],3 [STRING] [0x0],4 [UINT] [0x8],5 [UINT] [0xC],6 [UINT] [0x10],7 [USHORT] [0x16],8 [USHORT] [0x18]
0,0,0,0,"",0,0,0,0,0
1,1,0,0,"永结同心典礼",1000,1143,0,0,0
2,2,0,60848,"九宫幻卡：幻卡对局室",0,0,0,195,0
3,3,180,60851,"禁地优雷卡 常风之地",2000,2003,7207922,283,1
4,3,180,60851,"禁地优雷卡 恒冰之地",2000,2003,7516174,581,2
5,4,60,60831,"灾厄重现军事演习",0,0,7536621,583,0
6,0,0,0,"",0,0,0,0,0
7,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,600,1
8,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,601,2
9,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,602,3
10,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,603,4
11,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,604,5
12,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,605,6
13,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,606,7
14,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,607,8
15,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,608,9
