Index,0 [INT] [0x320],1 [UBYTE] [0x328],2 [USHORT] [0x324],3 [USHORT] [0x326],4 [STRING] [0x0],5 [STRING] [0x8],6 [STRING] [0x10],7 [STRING] [0x18],8 [STRING] [0x20],9 [STRING] [0x28],10 [STRING] [0x30],11 [STRING] [0x38],12 [STRING] [0x40],13 [STRING] [0x48],14 [STRING] [0x50],15 [STRING] [0x58],16 [STRING] [0x60],17 [STRING] [0x68],18 [STRING] [0x70],19 [STRING] [0x78],20 [STRING] [0x80],21 [STRING] [0x88],22 [STRING] [0x90],23 [STRING] [0x98],24 [STRING] [0xA0],25 [STRING] [0xA8],26 [STRING] [0xB0],27 [STRING] [0xB8],28 [STRING] [0xC0],29 [STRING] [0xC8],30 [STRING] [0xD0],31 [STRING] [0xD8],32 [STRING] [0xE0],33 [STRING] [0xE8],34 [STRING] [0xF0],35 [STRING] [0xF8],36 [STRING] [0x100],37 [STRING] [0x108],38 [STRING] [0x110],39 [STRING] [0x118],40 [STRING] [0x120],41 [STRING] [0x128],42 [STRING] [0x130],43 [STRING] [0x138],44 [STRING] [0x140],45 [STRING] [0x148],46 [STRING] [0x150],47 [STRING] [0x158],48 [STRING] [0x160],49 [STRING] [0x168],50 [STRING] [0x170],51 [STRING] [0x178],52 [STRING] [0x180],53 [STRING] [0x188],54 [STRING] [0x190],55 [STRING] [0x198],56 [STRING] [0x1A0],57 [STRING] [0x1A8],58 [STRING] [0x1B0],59 [STRING] [0x1B8],60 [STRING] [0x1C0],61 [STRING] [0x1C8],62 [STRING] [0x1D0],63 [STRING] [0x1D8],64 [STRING] [0x1E0],65 [STRING] [0x1E8],66 [STRING] [0x1F0],67 [STRING] [0x1F8],68 [STRING] [0x200],69 [STRING] [0x208],70 [STRING] [0x210],71 [STRING] [0x218],72 [STRING] [0x220],73 [STRING] [0x228],74 [STRING] [0x230],75 [STRING] [0x238],76 [STRING] [0x240],77 [STRING] [0x248],78 [STRING] [0x250],79 [STRING] [0x258],80 [STRING] [0x260],81 [STRING] [0x268],82 [STRING] [0x270],83 [STRING] [0x278],84 [STRING] [0x280],85 [STRING] [0x288],86 [STRING] [0x290],87 [STRING] [0x298],88 [STRING] [0x2A0],89 [STRING] [0x2A8],90 [STRING] [0x2B0],91 [STRING] [0x2B8],92 [STRING] [0x2C0],93 [STRING] [0x2C8],94 [STRING] [0x2D0],95 [STRING] [0x2D8],96 [STRING] [0x2E0],97 [STRING] [0x2E8],98 [STRING] [0x2F0],99 [STRING] [0x2F8],100 [STRING] [0x300],101 [STRING] [0x308],102 [STRING] [0x310],103 [STRING] [0x318],104 [UINT] [0x4],105 [UINT] [0xC],106 [UINT] [0x14],107 [UINT] [0x1C],108 [UINT] [0x24],109 [UINT] [0x2C],110 [UINT] [0x34],111 [UINT] [0x3C],112 [UINT] [0x44],113 [UINT] [0x4C],114 [UINT] [0x54],115 [UINT] [0x5C],116 [UINT] [0x64],117 [UINT] [0x6C],118 [UINT] [0x74],119 [UINT] [0x7C],120 [UINT] [0x84],121 [UINT] [0x8C],122 [UINT] [0x94],123 [UINT] [0x9C],124 [UINT] [0xA4],125 [UINT] [0xAC],126 [UINT] [0xB4],127 [UINT] [0xBC],128 [UINT] [0xC4],129 [UINT] [0xCC],130 [UINT] [0xD4],131 [UINT] [0xDC],132 [UINT] [0xE4],133 [UINT] [0xEC],134 [UINT] [0xF4],135 [UINT] [0xFC],136 [UINT] [0x104],137 [UINT] [0x10C],138 [UINT] [0x114],139 [UINT] [0x11C],140 [UINT] [0x124],141 [UINT] [0x12C],142 [UINT] [0x134],143 [UINT] [0x13C],144 [UINT] [0x144],145 [UINT] [0x14C],146 [UINT] [0x154],147 [UINT] [0x15C],148 [UINT] [0x164],149 [UINT] [0x16C],150 [UINT] [0x174],151 [UINT] [0x17C],152 [UINT] [0x184],153 [UINT] [0x18C],154 [UINT] [0x194],155 [UINT] [0x19C],156 [UINT] [0x1A4],157 [UINT] [0x1AC],158 [UINT] [0x1B4],159 [UINT] [0x1BC],160 [UINT] [0x1C4],161 [UINT] [0x1CC],162 [UINT] [0x1D4],163 [UINT] [0x1DC],164 [UINT] [0x1E4],165 [UINT] [0x1EC],166 [UINT] [0x1F4],167 [UINT] [0x1FC],168 [UINT] [0x204],169 [UINT] [0x20C],170 [UINT] [0x214],171 [UINT] [0x21C],172 [UINT] [0x224],173 [UINT] [0x22C],174 [UINT] [0x234],175 [UINT] [0x23C],176 [UINT] [0x244],177 [UINT] [0x24C],178 [UINT] [0x254],179 [UINT] [0x25C],180 [UINT] [0x264],181 [UINT] [0x26C],182 [UINT] [0x274],183 [UINT] [0x27C],184 [UINT] [0x284],185 [UINT] [0x28C],186 [UINT] [0x294],187 [UINT] [0x29C],188 [UINT] [0x2A4],189 [UINT] [0x2AC],190 [UINT] [0x2B4],191 [UINT] [0x2BC],192 [UINT] [0x2C4],193 [UINT] [0x2CC],194 [UINT] [0x2D4],195 [UINT] [0x2DC],196 [UINT] [0x2E4],197 [UINT] [0x2EC],198 [UINT] [0x2F4],199 [UINT] [0x2FC],200 [UINT] [0x304],201 [UINT] [0x30C],202 [UINT] [0x314],203 [UINT] [0x31C]
0,0,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65825,1,30,20,"BNPC_01","BNPC_02","BNPC_03","ENPC_01","ENPC_02","BTL_TLK_01","WARP_01","RECT_01","BNPC_IDA","ACTION_FLASH","EOBJ_01","EVENT_ACTION_01","GT_ACTION_01","GIMMICK_EOBJ_01","GIMMICK_STATUS_01","MOUNT_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3879685,3963616,3963617,3963618,3963619,2207,3963620,3970069,3995190,14,4018569,7,1060,2000116,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,65612,1,30,34,"INIT_P_POP_01","INIT_POP_1_LNC01","INIT_POP_1_LNC02","INIT_POP_1_BARD_01","INIT_POP_2_LNC01","INIT_POP_2_BARD_01","INIT_POP_2_LNC02","INIT_POP_2_CNJ02","INIT_POP_3_LNC01","INIT_POP_3_BARD_01","INIT_POP_3_CNJ01","INIT_POP_3_PGL01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_POS_ACTOR1","LOC_ACTOR3","LOC_ACTOR2_ACTION","BNPC_NAME_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4259106,3708966,3762271,3715772,3913908,3913909,3913919,4259107,4259108,4259109,4259110,4259111,1000199,1003065,1003010,3890200,1003012,961,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,65612,2,30,34,"INIT_POP_BOSS","INIT_POP_1_ARC_01","INIT_POP_1_ARC_02","INIT_POP_1_ARC_03","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_1_LNC_03","INIT_P_POP_LEIHALIAPOH","INIT_P_POP_SILVAIRRE","INIT_POP_2_ARC_01","INIT_POP_2_ARC_02","INIT_POP_2_LNC_01","INIT_POP_2_LNC_02","INIT_POP_2_CNJ_01","INIT_POP_2_THM_01","CUT_SCENE_01","CUT_SCENE_02","EOBJ_BTL_ARROW_FIRE","STATUS_CUSTOM_ARROW_FIRE","DEF_ACTION_SIDEWINDER","DEF_ACTION_MONSTER_WHISTLE","DEF_PARALYSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3762267,3762259,3762264,4277285,3762262,3762265,4277284,3815984,3815986,4277286,4277287,4277288,4277289,4277290,4277291,14,15,4309876,20,1060,983,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,65607,1,30,29,"INIT_POP_01","LOC_POS_FIRST","INIT_POP_02","INIT_POP_03","BNPC_001","LOC_ACTOR0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3777844,3867063,3906824,3906825,539,1000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,65606,1,30,24,"INIT_POP_1_ARC_01","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_2_LNC_01","INIT_POP_2_LNC_02","INIT_POP_2_CNJ_01","INIT_POP_2_ARC_01","INIT_POP_2_ARC_02","INIT_POP_3_LNC_01","INIT_POP_3_LNC_02","INIT_POP_3_BOSS","INIT_POP_3_CNJ_01","INIT_P_POP_1","BNPC_NAME_01","BNPC_NAME_02","CUT_SCENE_01","CUT_SCENE_02","DEF_QUICK_KNOCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818973,3818974,3818975,4259098,4259100,4259102,3818976,3818977,3914483,3914484,4259104,4259105,4259091,139,140,11,12,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,65604,1,30,19,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_POP_05","INIT_POP_06","INIT_POP_07","INIT_POP_08","INIT_POP_09","INIT_POP_10","INIT_POP_11","INIT_POP_12","BNPC_001","ER_RECT_01","INIT_POP_CAMP_EXC01","INIT_POP_CAMP_EXC02","INIT_POP_CAMP_LNC01","INIT_POP_CAMP_EXC03","INIT_POP_CAMP_EXC04","INIT_POP_CAMP_LNC02","DEF_ACTION_WATERA","INIT_P_POP_MIRAUDONT","INIT_POP_ADD_GLA01","INIT_POP_ADD_GLA02","POP_RANGE_MIRAUDONT_MOVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818956,3818957,3818958,3818959,3818960,3818961,3818962,3818963,3818964,3818966,3818967,3818968,113,4246562,4246567,4246568,4246569,4246638,4246639,4246640,1016,4246724,4246863,4246864,4358145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,65591,1,30,19,"INIT_POP_BOSS","INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_POP_05","INIT_POP_06","INIT_POP_07","INIT_POP_08","INIT_POP_09","INIT_POP_10","INIT_POP_11","INIT_P_POP_01","BNPC_001","LOC_POS_PC_FIRST","LOC_ACTOR0","BNPC_NAME_01","DEF_ACTION_BLIND_POISON","DEF_BLIND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3792898,3792905,3792907,3792908,3792909,3792911,3792912,3792913,3792914,3792916,3792917,3911020,4259221,543,3879338,1003009,626,1089,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,65592,1,30,24,"INIT_POP_01","INIT_POP_02","INIT_POP_03","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_ACTOR0","LOC_ACTOR1","INIT_ENPC_POP_01","LOC_ACTOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3793627,3793628,3793632,3879492,3881989,1000254,1003037,3881989,1003039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,65975,1,30,34,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","LOC_ACTOR0","LOC_BNPC_1","LOC_POS_PC_FIRST","LOC_POS_ACTOR0","LOC_PC_ACTION_1","LOC_ACTOR1","INIT_POP_01_P1","LOC_BNPC_ACTION1","LOC_ACTOR0_ACTION1","LOC_ACTOR0_ACTION2","INIT_POP_05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818776,3818777,3818778,3818779,1003081,1003082,3895601,3895602,81,1000466,3906892,121,979,936,3927421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
