Index,0 [STRING] [0x0],1 [INT] [0x4],2 [INT] [0x8],3 [BYTE] [0xC]
0,"",0,0,0
1,"大家好！",9901,11030,1
2,"辛苦了！",9902,11031,2
3,"谢谢！",9903,11032,3
4,"漂亮！",9904,11033,4
5,"对战用额外技能1",9927,11034,6
6,"奋战技",9906,11035,5
7,"瞄准攻击补给箱",9907,11036,10
8,"瞄准防御补给箱",9908,11037,11
9,"瞄准奋战补给箱",9909,11038,12
10,"瞄准狼心",9910,11039,13
11,"攻击防护职业",9911,11040,14
12,"攻击治疗职业",9912,11041,15
13,"攻击近战职业",9913,11042,16
14,"攻击远程职业",9914,11043,17
15,"拖住防护职业",9915,11044,19
16,"拖住治疗职业",9916,11045,20
17,"拖住近战职业",9917,11046,21
18,"拖住远程职业",9918,11047,22
19,"我来拾取战章",9919,11048,24
20,"请去拾取战章",9920,11049,25
21,"全力攻击",9921,11050,26
22,"后退",9922,11051,27
23,"魔力",9923,11052,8
24,"技力",9924,11053,9
25,"攻击目标",9925,11054,18
26,"拖住目标",9926,11055,23
27,"对战用额外技能2",9928,11056,7
