Index,0 [INT] [0x0],1 [UBYTE] [0x40],2 [INT] [0x4],3 [UBYTE] [0x41],4 [INT] [0x8],5 [UBYTE] [0x42],6 [INT] [0xC],7 [UBYTE] [0x43],8 [INT] [0x10],9 [UBYTE] [0x44],10 [INT] [0x14],11 [UBYTE] [0x45],12 [INT] [0x18],13 [UBYTE] [0x46],14 [INT] [0x1C],15 [UBYTE] [0x47],16 [INT] [0x20],17 [UBYTE] [0x48],18 [INT] [0x24],19 [UBYTE] [0x49],20 [INT] [0x28],21 [UBYTE] [0x4A],22 [INT] [0x2C],23 [UBYTE] [0x4B],24 [UBYTE] [0x4C],25 [USHORT] [0x30],26 [BOOL] [0x4D],27 [USHORT] [0x32],28 [USHORT] [0x34],29 [USHORT] [0x36],30 [USHORT] [0x38],31 [USHORT] [0x3A],32 [USHORT] [0x3C],33 [USHORT] [0x3E],34 [BOOL] [0x4E],35 [BOOL] [0x4F]
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,false,100,100,100,0,0,0,0,true,true
1,1,1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,false,50,100,67,0,0,0,0,true,true
2,1,1,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
3,1,2,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
4,1,2,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
5,1,3,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,false,50,100,67,0,0,0,0,true,true
6,1,3,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
7,1,3,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
8,1,4,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
9,1,4,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
