Index,0 [USHORT] [0x0],1 [USHORT] [0x2],2 [USHORT] [0x4]
0,100,100,100
1,19,312,60
2,20,325,60
3,20,339,60
4,21,352,60
5,33,451,60
6,36,474,60
7,37,492,60
8,41,526,60
9,42,545,60
10,45,629,60
11,48,665,60
12,53,702,60
13,54,726,60
14,54,751,60
15,55,807,70
16,63,866,70
17,66,898,70
18,67,939,70
19,68,982,70
20,74,1053,70
21,75,1090,70
22,75,1122,70
23,79,1169,70
24,85,1239,70
25,89,1296,70
26,90,1332,70
27,91,1368,70
28,100,1498,70
29,101,1544,70
30,102,1584,70
31,106,1670,80
32,110,1697,80
33,111,1757,80
34,115,1811,80
35,123,1853,80
36,124,1882,80
37,128,1905,80
38,129,1961,80
39,137,2026,80
40,138,2050,80
41,143,2109,80
42,144,2147,80
43,155,2251,80
44,156,2277,80
45,158,2309,80
46,159,2372,80
47,167,2421,80
48,172,2524,80
49,174,2551,80
50,186,2641,80
51,188,2666,80
52,190,2692,80
53,193,2717,80
54,195,2743,80
55,195,2646,80
56,198,2664,80
57,200,2682,80
58,203,2701,80
59,205,2719,80
60,208,2737,80
61,210,2756,80
62,213,2774,80
63,215,2793,80
64,218,2811,80
65,220,2829,80
66,223,2848,80
67,225,2866,80
68,228,2884,80
69,230,2903,80
70,233,2921,80
71,244,3024,80
72,255,3127,80
73,265,3230,80
74,276,3333,80
75,286,3436,80
76,297,3539,80
77,308,3642,80
78,318,3745,80
79,329,3848,80
80,339,3951,80
81,350,4054,80
82,361,4157,80
83,371,4260,80
84,382,4363,80
85,392,4466,80
86,403,4569,80
87,414,4672,80
88,424,4775,80
89,435,4878,80
90,445,4980,80
91,453,5021,80
92,460,5061,80
93,467,5101,80
94,474,5141,80
95,481,5181,80
96,488,5221,80
97,495,5262,80
98,502,5302,80
99,509,5342,80
100,516,5382,80
101,523,5422,80
102,530,5462,80
103,537,5502,80
104,544,5543,80
105,551,5583,80
106,558,5623,80
107,565,5663,80
108,572,5703,80
109,579,5743,80
110,586,5783,80
