Index,0 [UINT] [0x0],1 [UINT] [0x4],2 [INT] [0x8],3 [USHORT] [0xC],4 [UBYTE] [0x14],5 [UBYTE] [0x15],6 [UBYTE] [0x16],7 [USHORT] [0xE],8 [UBYTE] [0x17],9 [UBYTE] [0x18],10 [UBYTE] [0x19],11 [USHORT] [0x10],12 [UBYTE] [0x1A],13 [UBYTE] [0x1B],14 [USHORT] [0x12],15 [UBYTE] [0x1C]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7824,7834,80152,39,1,2,0,43,4,5,0,44,7,8,45,9
2,7825,7835,80153,39,1,2,3,43,4,5,6,44,7,8,47,9
3,7826,7836,80154,39,1,2,3,43,4,5,6,45,7,8,47,9
4,7827,7837,80155,39,1,2,3,43,4,5,6,44,7,8,49,9
5,7828,7838,80156,40,1,2,3,43,4,5,6,44,7,8,47,9
6,7829,7839,80157,42,1,2,3,43,4,5,6,46,7,8,48,9
7,7830,7840,80158,41,1,2,3,43,4,5,6,48,7,8,46,9
8,7831,7841,80159,41,1,2,3,43,4,5,6,48,7,8,46,9
9,7832,7842,80160,42,1,2,3,43,4,5,6,48,7,8,46,9
10,7833,7843,80151,39,3,0,0,43,6,0,0,0,0,0,0,0
