Index,0 [BBOOL] [0x18],1 [UBYTE] [0x14],2 [UBYTE] [0x15],3 [USHORT] [0x4],4 [USHORT] [0x6],5 [USHORT] [0x8],6 [USHORT] [0xA],7 [INT] [0x0],8 [USHORT] [0xC],9 [UBYTE] [0x16],10 [UBYTE] [0x17],11 [USHORT] [0xE],12 [USHORT] [0x10],13 [USHORT] [0x12]
0,false,0,1,0,1,1,0,0,0,0,0,0,0,0
1,false,34,1,0,1,1,60,1133,0,0,0,0,0,1
2,false,34,2,0,2,1,60,1133,0,0,0,0,0,2
3,false,34,3,0,3,1,60,1133,0,0,0,0,0,3
4,false,34,4,0,4,1,60,1133,0,0,0,0,0,4
5,false,34,5,0,5,1,60,1133,0,0,0,0,0,5
6,false,34,6,0,6,1,60,4413,0,0,0,0,0,6
7,false,34,7,0,7,1,60,4413,0,0,0,0,0,7
8,false,34,8,0,8,1,60,4413,0,0,0,0,0,8
9,false,34,9,0,9,1,60,4413,0,0,0,0,0,9
10,false,34,10,0,10,1,60,4413,1,0,0,0,0,10
11,false,34,10,0,10,1,60,4413,1,0,0,0,0,11
12,false,34,10,0,10,1,60,4413,1,0,0,0,0,12
13,false,34,11,0,11,1,60,8800,1,0,0,0,0,13
14,false,34,11,0,11,1,60,8800,1,0,0,0,0,14
15,false,34,12,0,12,1,60,8800,1,0,0,0,0,15
16,false,34,12,0,12,1,60,8800,1,0,0,0,0,16
17,false,34,13,0,13,1,60,8800,1,0,0,0,0,17
18,false,34,14,0,14,1,60,8800,1,0,0,0,0,18
19,false,34,14,0,14,1,60,8800,1,0,0,0,0,19
20,false,34,15,0,15,1,60,8800,1,0,0,0,0,20
21,false,34,15,0,15,1,60,8800,1,0,0,0,0,21
22,false,34,15,0,15,1,60,8800,1,0,0,0,0,22
23,false,34,16,0,16,1,60,13600,1,0,0,0,0,23
24,false,34,17,0,17,1,60,13600,1,0,0,0,0,24
25,false,34,18,0,18,1,60,13600,1,0,0,0,0,25
26,false,34,19,0,19,1,60,13600,1,0,0,0,0,26
27,false,34,20,0,20,1,60,13600,10,0,0,0,0,27
28,false,34,21,0,21,1,60,20494,10,0,0,0,0,28
29,false,34,22,0,22,1,60,20494,10,0,0,0,0,29
30,false,34,23,0,23,1,60,20494,10,0,0,0,0,30
31,false,34,24,0,24,1,60,20494,10,0,0,0,0,31
32,false,34,25,0,25,1,60,20494,10,0,0,0,0,32
33,false,34,25,0,25,1,60,20494,10,0,0,0,0,33
34,false,34,25,0,25,1,60,20494,10,0,0,0,0,34
35,false,34,25,0,25,1,60,20494,10,0,0,0,0,35
36,false,34,25,0,25,1,60,20494,10,0,0,0,0,36
37,false,34,25,0,25,1,60,20494,10,0,0,0,0,37
38,false,34,26,0,26,1,60,30000,10,0,0,0,0,38
39,false,34,26,0,26,1,60,30000,10,0,0,0,0,39
40,false,34,27,0,27,1,60,30000,10,0,0,0,0,40
41,false,34,28,0,28,1,60,30000,10,0,0,0,0,41
