Index,0 [UBYTE] [0xC],1 [UBYTE] [0xD],2 [INT] [0x0],3 [USHORT] [0x4],4 [USHORT] [0x6],5 [USHORT] [0x8],6 [USHORT] [0xA]
0,0,0,0,0,0,0,0
1,0,1,0,17549,55,219,382
2,0,3,0,17550,57,255,425
3,0,5,0,17551,59,294,470
4,0,7,0,17552,63,346,534
5,0,9,0,17549,55,219,382
6,0,13,0,20775,157,314,471
7,0,15,0,20776,167,335,502
8,0,17,0,20777,130,429,624
9,0,19,0,20778,130,468,663
10,0,21,0,20775,157,314,471
11,0,25,0,23143,195,390,585
12,0,27,0,23144,195,390,585
13,0,29,0,23145,130,460,670
14,0,31,0,23146,130,500,710
15,0,33,0,23143,195,390,585
