Index,0 [UINT] [0x0],1 [USHORT] [0x8],2 [UBYTE] [0xA],3 [UINT] [0x4],4 [BBOOL] [0xB],5 [BBOOL] [0xB]
0,0,0,0,0,false,false
1,1,0,0,11599872,true,false
2,1,0,0,11665408,true,false
3,1,0,0,11730944,true,false
4,1,0,0,11796480,true,false
5,1,0,0,11862016,true,false
6,1,0,0,11927552,true,false
7,1,0,0,11993088,true,false
8,1,0,0,12058624,true,false
9,1,0,0,12124160,true,false
10,1,0,0,12189696,true,false
11,1,0,0,12255232,true,false
12,1,0,0,12320768,true,false
13,1,0,0,12386304,true,false
14,1,0,0,12451840,true,false
15,1,0,0,12517376,true,false
16,1,0,0,12582912,true,false
17,1,0,0,12648448,true,false
18,1,0,0,74317824,true,false
19,1,0,0,69140480,false,true
20,1,0,0,69533696,false,true
21,1,0,0,68747264,false,true
22,1,0,0,69926912,false,true
23,1,0,0,71106560,false,true
24,1,0,0,70713344,false,true
25,1,0,0,70320128,false,true
26,1,0,0,29622272,true,false
27,1,0,0,71499776,false,true
28,1,0,0,71892992,false,true
29,1,0,0,6684672,true,false
30,1,0,0,13893632,false,true
31,1,0,0,111149056,false,true
32,1,0,0,134545408,false,true
33,1,0,0,131858432,false,true
34,1,0,0,167706624,false,true
35,1,0,0,168820736,false,true
