Index,0 [UINT] [0x0],1 [BYTE] [0x4],2 [BOOL] [0x5]
0,0,-1,true
1,120001,6,true
2,120002,7,true
3,120021,8,true
4,120022,-1,true
5,120023,9,true
6,120031,6,true
7,120032,7,true
8,120033,10,true
9,120034,11,true
10,120035,12,true
11,120041,13,true
12,120042,-1,true
13,120043,14,true
14,120201,5,true
15,120202,5,true
16,120203,5,true
17,120204,5,true
18,120207,5,true
19,120208,5,true
20,120209,5,true
21,120210,5,true
22,120701,5,true
23,120705,5,true
24,120706,5,true
25,120707,5,true
26,120719,5,true
27,120714,5,true
28,120710,5,true
29,120211,5,true
30,120236,5,true
31,120237,5,true
32,120205,5,true
33,120081,15,true
34,120082,16,true
35,120083,17,true
36,120702,5,true
37,120081,18,true
38,120082,19,true
39,120083,20,true
40,120238,5,true
41,120239,5,true
42,120703,5,true
43,120708,5,true
44,120704,5,true
45,120709,5,true
46,120711,5,true
47,120712,5,true
48,120713,5,true
49,120715,5,true
50,120716,5,true
51,120717,5,true
52,120718,5,true
53,120720,5,true
54,120721,5,true
55,120722,5,true
56,120723,5,true
57,120724,5,true
58,120725,5,true
59,120726,5,true
60,120727,5,true
61,120728,5,true
62,120729,5,true
63,120240,5,true
64,120241,5,true
65,120242,5,true
66,120243,5,true
67,120244,5,true
68,120213,5,true
69,120214,5,true
70,120215,5,true
71,120216,5,true
72,120055,7,true
73,120313,5,true
74,120300,5,true
75,120311,5,true
76,120325,5,true
77,120317,5,true
78,120330,5,true
79,120301,5,true
80,120326,5,true
81,120316,5,true
82,120335,5,true
83,120334,5,true
84,120333,5,true
85,120328,5,true
86,120315,5,true
87,120304,5,true
88,120303,5,true
89,120313,5,true
90,120206,5,true
91,120217,5,true
92,120218,5,true
93,120245,5,true
94,120246,5,true
95,120247,5,true
96,120248,5,true
97,120249,5,true
98,120321,5,true
99,120322,5,true
100,121021,6,true
101,121022,7,true
102,120024,8,true
103,120025,-1,true
104,121031,31,true
105,121032,32,true
106,121033,33,true
107,120101,8,true
108,120102,-1,true
109,120103,-1,true
110,120068,5,true
111,120306,5,true
112,120307,5,true
113,120318,5,true
114,120320,5,true
115,120336,5,true
116,120337,5,true
117,120344,-1,true
118,120341,5,true
119,120103,-1,true
120,120102,-1,true
121,121001,6,true
122,121002,7,true
123,121011,15,true
124,121012,16,true
125,121013,17,true
126,120081,35,true
127,121061,6,true
128,121062,7,true
129,121071,18,true
130,121072,34,true
131,121073,17,true
132,121041,6,true
133,121042,7,true
134,121051,15,true
135,121052,16,true
136,121053,17,true
137,120219,5,true
138,120220,5,true
139,120305,5,true
140,120308,5,true
141,120312,5,true
142,120319,5,true
143,120323,5,true
144,120327,5,true
145,120331,5,true
146,120338,5,true
147,120343,5,true
148,120346,-1,true
149,120092,0,true
150,120104,0,true
151,120093,7,true
152,120069,5,true
153,120070,5,true
154,120231,5,true
155,120094,6,true
156,120081,36,true
157,121051,18,true
158,121052,19,true
159,120233,5,true
160,120234,5,true
161,120235,5,true
162,120601,5,true
163,120602,5,true
164,120603,5,true
165,120604,5,true
166,120605,5,true
167,120611,0,true
168,120612,0,true
169,120613,0,true
170,120614,0,true
171,120615,0,true
172,120221,5,true
173,120222,5,true
174,120223,5,true
175,120225,5,true
176,120226,5,true
177,120227,5,true
178,120228,5,true
179,120229,5,true
180,120230,5,true
181,120302,5,true
182,120309,5,true
183,120310,5,true
184,120314,5,true
185,120324,5,true
186,120329,5,true
187,120332,5,true
188,120339,5,true
189,120340,5,true
190,120342,5,true
191,120401,5,true
192,120402,5,true
193,120403,5,true
194,120404,5,true
195,120405,5,true
196,120345,-1,true
197,120011,37,true
198,120012,7,true
199,120056,7,true
200,120095,6,true
201,120096,7,true
202,121081,37,true
203,121082,7,true
204,120224,5,true
205,120347,22,true
206,120097,7,true
207,120900,38,true
208,120901,5,true
209,120902,5,true
210,120903,22,true
211,0,-1,true
212,0,-1,true
213,0,-1,true
214,0,-1,true
215,0,-1,true
216,0,-1,true
217,0,-1,true
218,0,-1,true
219,0,-1,true
220,0,-1,true
221,0,-1,true
222,0,-1,true
223,0,-1,true
224,0,-1,true
225,0,-1,true
226,0,-1,true
227,0,-1,true
228,0,-1,true
229,0,-1,true
230,0,-1,true
231,0,-1,true
232,0,-1,true
233,0,-1,true
234,0,-1,true
235,0,-1,true
236,0,-1,true
237,0,-1,true
238,0,-1,true
239,0,-1,true
240,0,-1,true
241,0,-1,true
242,0,-1,true
243,0,-1,true
244,0,-1,true
245,0,-1,true
246,0,-1,true
247,0,-1,true
248,0,-1,true
249,0,-1,true
250,0,-1,true
