Index,0 [INT] [0xC],1 [BOOL] [0x20],2 [UINT] [0x0],3 [UINT] [0x4],4 [UINT] [0x8],5 [INT] [0x10],6 [INT] [0x14],7 [INT] [0x18],8 [INT] [0x1C]
0,0,false,100,100,100,0,0,0,0
1,1819,false,100,100,100,0,0,0,0
2,1820,false,100,100,100,0,0,0,0
3,1821,false,100,100,100,0,0,0,0
4,1822,false,100,100,100,0,0,0,0
5,1823,false,100,100,100,0,0,0,0
6,1824,false,100,100,100,0,0,0,0
7,1825,false,100,100,100,0,0,0,0
8,1827,false,100,100,100,0,0,0,0
9,1833,false,100,100,100,0,0,0,0
10,1836,false,100,100,100,0,0,0,0
11,1838,false,100,100,100,0,0,0,0
12,1845,false,100,100,100,0,0,0,0
13,1847,false,100,100,100,0,0,0,0
14,1850,false,100,100,100,0,0,0,0
15,1855,false,100,100,100,0,0,0,0
16,1862,false,100,100,100,0,0,0,0
17,1867,false,100,100,100,0,0,0,0
18,1872,false,100,100,100,0,0,0,0
19,1889,false,100,100,100,0,0,0,0
20,1891,false,100,100,100,0,0,0,0
21,1892,false,100,100,100,0,0,0,0
22,1893,false,100,100,100,0,0,0,0
23,1894,false,100,100,100,0,0,0,0
24,1895,false,100,100,100,0,0,0,0
25,1897,false,100,100,100,0,0,0,0
26,1899,false,100,100,100,0,0,0,0
27,1905,false,100,100,100,0,0,0,0
28,1908,false,100,100,100,0,0,0,0
29,1915,false,100,100,100,0,0,0,0
30,1917,false,100,100,100,0,0,0,0
31,1920,false,100,100,100,0,0,0,0
32,1925,false,100,100,100,0,0,0,0
33,1932,false,100,100,100,0,0,0,0
34,1937,false,100,100,100,0,0,0,0
35,1942,false,100,100,100,0,0,0,0
36,1958,false,100,100,100,0,0,0,0
37,1959,false,100,100,100,0,0,0,0
38,1960,false,100,100,100,0,0,0,0
39,1961,false,100,100,100,0,0,0,0
40,1963,false,100,100,100,0,0,0,0
41,1965,false,100,100,100,0,0,0,0
42,1967,false,100,100,100,0,0,0,0
43,1969,false,100,100,100,0,0,0,0
44,1971,false,100,100,100,0,0,0,0
45,1976,false,100,100,100,0,0,0,0
46,1978,false,100,100,100,0,0,0,0
47,1974,false,100,100,100,0,0,0,0
48,1985,false,100,100,100,0,0,0,0
49,1981,false,100,100,100,0,0,0,0
50,1983,false,100,100,100,0,0,0,0
51,1987,false,100,100,100,0,0,0,0
52,1995,false,100,100,100,0,0,0,0
53,1996,false,100,100,100,0,0,0,0
54,1997,false,100,100,100,0,0,0,0
55,1998,false,100,100,100,0,0,0,0
56,2000,false,100,100,100,0,0,0,0
57,2002,false,100,100,100,0,0,0,0
58,2004,false,100,100,100,0,0,0,0
59,2010,false,100,100,100,0,0,0,0
60,2011,false,100,100,100,0,0,0,0
61,2015,false,100,100,100,0,0,0,0
62,2021,false,100,100,100,0,0,0,0
63,2023,false,100,100,100,0,0,0,0
64,2026,false,100,100,100,0,0,0,0
65,2030,false,100,100,100,0,0,0,0
66,2039,false,100,100,100,0,0,0,0
67,2044,false,100,100,100,0,0,0,0
68,1749,false,100,100,100,0,0,0,0
69,1750,false,100,100,100,0,0,0,0
70,1751,false,100,100,100,0,0,0,0
71,1752,false,100,100,100,0,0,0,0
72,1753,false,100,100,100,0,0,0,0
73,1754,false,100,100,100,0,0,0,0
74,1756,false,100,100,100,0,0,0,0
75,1758,false,100,100,100,0,0,0,0
76,1764,false,100,100,100,0,0,0,0
77,1766,false,100,100,100,0,0,0,0
78,1769,false,100,100,100,0,0,0,0
79,1776,false,100,100,100,0,0,0,0
80,1778,false,100,100,100,0,0,0,0
81,1781,false,100,100,100,0,0,0,0
82,1786,false,100,100,100,0,0,0,0
83,1796,false,100,100,100,0,0,0,0
84,1801,false,100,100,100,0,0,0,0
85,1803,false,100,100,100,0,0,0,0
86,2142,false,100,100,100,0,0,0,0
87,2143,false,100,100,100,0,0,0,0
88,2144,false,100,100,100,0,0,0,0
89,2145,false,100,100,100,0,0,0,0
90,2146,false,100,100,100,0,0,0,0
91,2147,false,100,100,100,0,0,0,0
92,2149,false,100,100,100,0,0,0,0
93,2151,false,100,100,100,0,0,0,0
94,2156,false,100,100,100,0,0,0,0
95,2160,false,100,100,100,0,0,0,0
96,2166,false,100,100,100,0,0,0,0
97,2169,false,100,100,100,0,0,0,0
98,2174,false,100,100,100,0,0,0,0
99,2185,false,100,100,100,0,0,0,0
100,2189,false,100,100,100,0,0,0,0
101,1601,false,100,100,100,0,0,0,0
102,1602,false,100,100,100,0,0,0,0
103,1603,false,100,100,100,0,0,0,0
104,1604,false,100,100,100,0,0,0,0
105,1605,false,100,100,100,0,0,0,0
106,1607,false,100,100,100,0,0,0,0
107,1609,false,100,100,100,0,0,0,0
108,1611,false,100,100,100,0,0,0,0
109,1614,false,100,100,100,0,0,0,0
110,1622,false,100,100,100,0,0,0,0
111,1625,false,100,100,100,0,0,0,0
112,1627,false,100,100,100,0,0,0,0
113,1633,false,100,100,100,0,0,0,0
114,1637,false,100,100,100,0,0,0,0
115,1639,false,100,100,100,0,0,0,0
116,1643,false,100,100,100,0,0,0,0
117,1650,false,100,100,100,0,0,0,0
118,1657,false,100,100,100,0,0,0,0
119,1659,false,100,100,100,0,0,0,0
120,1663,false,100,100,100,0,0,0,0
121,1680,false,100,100,100,0,0,0,0
122,1681,false,100,100,100,0,0,0,0
123,1682,false,100,100,100,0,0,0,0
124,1683,false,100,100,100,0,0,0,0
125,1684,false,100,100,100,0,0,0,0
126,1685,false,100,100,100,0,0,0,0
127,1686,false,100,100,100,0,0,0,0
128,1688,false,100,100,100,0,0,0,0
129,1694,false,100,100,100,0,0,0,0
130,1697,false,100,100,100,0,0,0,0
131,1699,false,100,100,100,0,0,0,0
132,1706,false,100,100,100,0,0,0,0
133,1708,false,100,100,100,0,0,0,0
134,1711,false,100,100,100,0,0,0,0
135,1716,false,100,100,100,0,0,0,0
136,1723,false,100,100,100,0,0,0,0
137,1728,false,100,100,100,0,0,0,0
138,1733,false,100,100,100,0,0,0,0
139,2055,false,100,100,100,0,0,0,0
140,2056,false,100,100,100,0,0,0,0
141,2057,false,100,100,100,0,0,0,0
142,2058,false,100,100,100,0,0,0,0
143,2059,false,100,100,100,0,0,0,0
144,2061,false,100,100,100,0,0,0,0
145,2063,false,100,100,100,0,0,0,0
146,2066,false,100,100,100,0,0,0,0
147,2069,false,100,100,100,0,0,0,0
148,2071,false,100,100,100,0,0,0,0
149,2076,false,100,100,100,0,0,0,0
150,2078,false,100,100,100,0,0,0,0
151,2083,false,100,100,100,0,0,0,0
152,2088,false,100,100,100,0,0,0,0
153,2094,false,100,100,100,0,0,0,0
154,2097,false,100,100,100,0,0,0,0
155,2106,false,100,100,100,0,0,0,0
156,2107,false,100,100,100,0,0,0,0
157,2108,false,100,100,100,0,0,0,0
158,2109,false,100,100,100,0,0,0,0
159,2111,false,100,100,100,0,0,0,0
160,2116,false,100,100,100,0,0,0,0
161,2118,false,100,100,100,0,0,0,0
162,2121,false,100,100,100,0,0,0,0
163,2123,false,100,100,100,0,0,0,0
164,2125,false,100,100,100,0,0,0,0
165,2130,false,100,100,100,0,0,0,0
166,2133,false,100,100,100,0,0,0,0
167,2219,false,100,100,100,0,0,0,0
168,2226,false,100,100,100,0,0,0,0
169,2228,false,100,100,100,0,0,0,0
170,2229,false,100,100,100,0,0,0,0
171,2230,false,100,100,100,0,0,0,0
172,2231,false,100,100,100,0,0,0,0
173,2233,false,100,100,100,0,0,0,0
174,2236,false,100,100,100,0,0,0,0
175,2239,false,100,100,100,0,0,0,0
176,2241,false,100,100,100,0,0,0,0
177,2242,false,100,100,100,0,0,0,0
178,2246,false,100,100,100,0,0,0,0
179,2248,false,100,100,100,0,0,0,0
180,2250,false,100,100,100,0,0,0,0
181,2257,false,100,100,100,0,0,0,0
182,2260,false,100,100,100,0,0,0,0
183,2262,false,100,100,100,0,0,0,0
184,2268,false,100,100,100,0,0,0,0
185,2270,false,100,100,100,0,0,0,0
186,2279,false,100,100,100,0,0,0,0
187,2287,false,100,100,100,0,0,0,0
188,2294,false,100,100,100,0,0,0,0
189,2298,false,100,100,100,0,0,0,0
190,2296,false,100,100,100,0,0,0,0
191,368,false,100,100,100,0,0,0,0
192,366,false,100,100,100,0,0,0,0
193,369,false,100,100,100,0,0,0,0
194,370,false,100,100,100,0,0,0,0
195,371,false,100,100,100,0,0,0,0
196,367,false,100,100,100,0,0,0,0
197,2653,false,100,100,100,36,0,0,0
198,2654,false,100,100,100,36,0,0,0
199,2662,false,100,100,100,81,0,0,0
200,2665,false,100,100,100,81,0,0,0
201,2669,false,100,100,100,14,0,0,0
202,2677,false,100,100,100,74,0,0,0
203,2697,false,100,100,100,36,0,0,0
204,2710,false,100,100,100,36,0,0,0
205,2708,false,100,100,100,46,0,0,0
206,2725,false,100,100,100,74,0,0,0
207,2729,false,100,100,100,74,0,0,0
208,2753,false,100,100,100,74,0,0,0
209,2767,false,100,100,100,81,0,0,0
210,2776,false,100,100,100,46,0,0,0
211,2788,false,100,100,100,36,0,0,0
212,2810,false,100,100,100,74,0,0,0
213,2825,false,100,100,100,46,0,0,0
214,2862,false,100,100,100,81,0,0,0
215,2882,false,100,100,100,46,0,0,0
216,2893,false,100,100,100,81,0,0,0
217,2629,false,100,100,100,29,0,0,0
218,2655,false,100,100,100,29,0,0,0
219,2661,false,100,100,100,74,0,0,0
220,2668,false,100,100,100,36,0,0,0
221,2675,false,100,100,100,14,0,0,0
222,2685,false,100,100,100,0,0,0,0
223,2691,false,100,100,100,0,0,0,0
224,2687,false,100,100,100,0,0,0,0
225,2693,false,100,100,100,0,0,0,0
226,2689,false,100,100,100,0,0,0,0
227,2695,false,100,100,100,0,0,0,0
228,2699,false,100,100,100,36,0,0,0
229,2703,false,100,100,100,46,0,0,0
230,2719,false,100,100,100,14,0,0,0
231,2728,false,100,100,100,81,0,0,0
232,2745,false,100,100,100,0,0,0,0
233,2743,false,100,100,100,0,0,0,0
234,2735,false,100,100,100,0,0,0,0
235,2737,false,100,100,100,0,0,0,0
236,2741,false,100,100,100,0,0,0,0
237,2739,false,100,100,100,0,0,0,0
238,2763,false,100,100,100,81,0,0,0
239,2774,false,100,100,100,36,0,0,0
240,2779,false,100,100,100,29,0,0,0
241,2796,false,100,100,100,0,0,0,0
242,2792,false,100,100,100,0,0,0,0
243,2798,false,100,100,100,0,0,0,0
244,2800,false,100,100,100,0,0,0,0
245,2794,false,100,100,100,0,0,0,0
246,2790,false,100,100,100,0,0,0,0
247,2806,false,100,100,100,14,0,0,0
248,2814,false,100,100,100,81,0,0,0
249,2832,false,100,100,100,29,0,0,0
250,2835,false,100,100,100,29,0,0,0
251,2852,false,100,100,100,81,0,0,0
252,2857,false,100,100,100,81,0,0,0
253,2876,false,100,100,100,0,0,0,0
254,2872,false,100,100,100,0,0,0,0
255,2878,false,100,100,100,0,0,0,0
256,2880,false,100,100,100,0,0,0,0
257,2874,false,100,100,100,0,0,0,0
258,2870,false,100,100,100,0,0,0,0
259,2891,false,100,100,100,81,0,0,0
260,2673,false,100,100,100,74,0,0,0
261,2712,false,100,100,100,29,0,0,0
262,2723,false,100,100,100,36,0,0,0
263,2755,false,100,100,100,46,0,0,0
264,2765,false,100,100,100,46,0,0,0
265,2802,false,100,100,100,46,0,0,0
266,2812,false,100,100,100,14,0,0,0
267,2830,false,100,100,100,29,0,0,0
268,2850,false,100,100,100,81,0,0,0
269,2889,false,100,100,100,81,0,0,0
270,2656,false,100,100,100,14,0,0,0
271,2664,false,100,100,100,46,0,0,0
272,2680,false,100,100,100,46,0,0,0
273,2786,false,100,100,100,36,0,0,0
274,2817,false,100,100,100,14,0,0,0
275,2827,false,100,100,100,36,0,0,0
276,2859,false,100,100,100,74,0,0,0
277,2884,false,100,100,100,36,0,0,0
278,2631,false,100,100,100,14,0,0,0
279,2652,false,100,100,100,29,0,0,0
280,2660,false,100,100,100,46,0,0,0
281,2670,false,100,100,100,29,0,0,0
282,2714,false,100,100,100,36,0,0,0
283,2727,false,100,100,100,46,0,0,0
284,2731,false,100,100,100,74,0,0,0
285,2733,false,100,100,100,46,0,0,0
286,2750,false,100,100,100,36,0,0,0
287,2758,false,100,100,100,74,0,0,0
288,2769,false,100,100,100,14,0,0,0
289,2804,false,100,100,100,46,0,0,0
290,2816,false,100,100,100,74,0,0,0
291,2829,false,100,100,100,36,0,0,0
292,2834,false,100,100,100,46,0,0,0
293,2854,false,100,100,100,74,0,0,0
294,2886,false,100,100,100,36,0,0,0
295,2895,false,100,100,100,46,0,0,0
296,2630,false,100,100,100,14,0,0,0
297,2658,false,100,100,100,74,0,0,0
298,2663,false,100,100,100,74,0,0,0
299,2666,false,100,100,100,74,0,0,0
300,2672,false,100,100,100,36,0,0,0
301,2700,false,100,100,100,29,0,0,0
302,2734,false,100,100,100,74,0,0,0
303,2778,false,100,100,100,29,0,0,0
304,2805,false,100,100,100,36,0,0,0
305,2808,false,100,100,100,14,0,0,0
306,2819,false,100,100,100,29,0,0,0
307,2837,false,100,100,100,29,0,0,0
308,2861,false,100,100,100,74,0,0,0
309,625,false,100,100,100,0,0,0,0
310,623,false,100,100,100,0,0,0,0
311,616,false,100,100,100,0,0,0,0
312,627,false,100,100,100,0,0,0,0
313,618,false,100,100,100,0,0,0,0
314,628,false,100,100,100,0,0,0,0
315,622,false,100,100,100,0,0,0,0
316,617,false,100,100,100,0,0,0,0
317,2995,false,100,100,100,0,0,0,0
318,2986,false,100,100,100,0,0,0,0
319,2985,false,100,100,100,0,0,0,0
320,2984,false,100,100,100,0,0,0,0
321,2983,false,100,100,100,0,0,0,0
322,2990,false,100,100,100,0,0,0,0
323,2989,false,100,100,100,0,0,0,0
324,2988,false,100,100,100,0,0,0,0
325,2987,false,100,100,100,0,0,0,0
326,2992,false,100,100,100,0,0,0,0
327,2991,false,100,100,100,0,0,0,0
328,624,false,100,100,100,0,0,0,0
329,626,false,100,100,100,0,0,0,0
330,2996,false,100,100,100,46,0,0,0
331,2997,false,100,100,100,36,0,0,0
332,2960,false,100,100,100,36,0,0,0
333,2999,false,100,100,100,46,0,0,0
334,3008,false,100,100,100,46,0,0,0
335,3016,false,100,100,100,14,0,0,0
336,3017,false,100,100,100,81,0,0,0
337,3022,false,100,100,100,36,0,0,0
338,3028,false,100,100,100,29,0,0,0
339,3039,false,100,100,100,14,0,0,0
340,3043,false,100,100,100,81,0,0,0
341,3060,false,100,100,100,46,0,0,0
342,3066,false,100,100,100,14,0,0,0
343,3100,false,100,100,100,14,0,0,0
344,3125,false,100,100,100,81,0,0,0
345,3138,false,100,100,100,81,0,0,0
346,3147,false,100,100,100,14,0,0,0
347,3165,false,100,100,100,29,0,0,0
348,3172,false,100,100,100,36,0,0,0
349,3191,false,100,100,100,29,0,0,0
350,3201,false,100,100,100,81,0,0,0
351,3213,false,100,100,100,74,0,0,0
352,2958,false,100,100,100,81,0,0,0
353,3010,false,100,100,100,74,0,0,0
354,3000,false,100,100,100,36,0,0,0
355,3015,false,100,100,100,81,0,0,0
356,3018,false,100,100,100,74,0,0,0
357,3024,false,100,100,100,74,0,0,0
358,3036,false,100,100,100,81,0,0,0
359,3050,false,100,100,100,46,0,0,0
360,3062,false,100,100,100,36,0,0,0
361,3090,false,100,100,100,14,0,0,0
362,3106,false,100,100,100,14,0,0,0
