Index,0 [UINT] [0x100],1 [UBYTE] [0x106],2 [UBYTE] [0x107],3 [UBYTE] [0x108],4 [UBYTE] [0x109],5 [USHORT] [0x104],6 [UBYTE] [0x10A],7 [UBYTE] [0x10B],8 [STRING] [0xF4],9 [STRING] [0xF8],10 [STRING] [0xFC],11 [UINT] [0x0],12 [UINT] [0x10],13 [UINT] [0x20],14 [UINT] [0x30],15 [UINT] [0x40],16 [UINT] [0x50],17 [UINT] [0x60],18 [UINT] [0x70],19 [USHORT] [0x4],20 [USHORT] [0x14],21 [USHORT] [0x24],22 [USHORT] [0x34],23 [USHORT] [0x44],24 [USHORT] [0x54],25 [USHORT] [0x64],26 [USHORT] [0x74],27 [USHORT] [0x6],28 [USHORT] [0x16],29 [USHORT] [0x26],30 [USHORT] [0x36],31 [USHORT] [0x46],32 [USHORT] [0x56],33 [USHORT] [0x66],34 [USHORT] [0x76],35 [UBYTE] [0xC],36 [UBYTE] [0x1C],37 [UBYTE] [0x2C],38 [UBYTE] [0x3C],39 [UBYTE] [0x4C],40 [UBYTE] [0x5C],41 [UBYTE] [0x6C],42 [UBYTE] [0x7C],43 [UBYTE] [0xD],44 [UBYTE] [0x1D],45 [UBYTE] [0x2D],46 [UBYTE] [0x3D],47 [UBYTE] [0x4D],48 [UBYTE] [0x5D],49 [UBYTE] [0x6D],50 [UBYTE] [0x7D],51 [UBYTE] [0xE],52 [UBYTE] [0x1E],53 [UBYTE] [0x2E],54 [UBYTE] [0x3E],55 [UBYTE] [0x4E],56 [UBYTE] [0x5E],57 [UBYTE] [0x6E],58 [UBYTE] [0x7E],59 [USHORT] [0x8],60 [USHORT] [0x18],61 [USHORT] [0x28],62 [USHORT] [0x38],63 [USHORT] [0x48],64 [USHORT] [0x58],65 [USHORT] [0x68],66 [USHORT] [0x78],67 [USHORT] [0xA],68 [USHORT] [0x1A],69 [USHORT] [0x2A],70 [USHORT] [0x3A],71 [USHORT] [0x4A],72 [USHORT] [0x5A],73 [USHORT] [0x6A],74 [USHORT] [0x7A],75 [UBYTE] [0xF],76 [UBYTE] [0x1F],77 [UBYTE] [0x2F],78 [UBYTE] [0x3F],79 [UBYTE] [0x4F],80 [UBYTE] [0x5F],81 [UBYTE] [0x6F],82 [UBYTE] [0x7F],83 [UINT] [0x80],84 [UINT] [0x84],85 [UINT] [0x88],86 [UINT] [0x8C],87 [UINT] [0x90],88 [UINT] [0x94],89 [UINT] [0x98],90 [UINT] [0x9C],91 [USHORT] [0xA4],92 [USHORT] [0xAC],93 [USHORT] [0xB4],94 [USHORT] [0xBC],95 [UBYTE] [0xA6],96 [UBYTE] [0xAE],97 [UBYTE] [0xB6],98 [UBYTE] [0xBE],99 [UINT] [0xA0],100 [UINT] [0xA8],101 [UINT] [0xB0],102 [UINT] [0xB8],103 [STRING] [0xC0],104 [STRING] [0xC4],105 [STRING] [0xC8],106 [STRING] [0xCC],107 [STRING] [0xD0],108 [STRING] [0xD4],109 [STRING] [0xD8],110 [STRING] [0xDC],111 [STRING] [0xE0],112 [STRING] [0xE4],113 [STRING] [0xE8],114 [STRING] [0xEC],115 [UBYTE] [0xF0],116 [UBYTE] [0xF1]
1,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
2,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
3,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
4,6913467,8,5,20,20,8300,0,20,"ev_snipe_clic0f","","",6913443,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,2200,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,6913444,6913445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"观察长颈驼！","要想制作优质的标本，<br>必须要仔细观察活着的长颈驼。<br>从上到下仔细观察长颈驼！","","仔细观察巨大的长颈驼全身","","","","","","","","观察",15,15
5,6958636,20,14,35,35,900,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f",6958463,6958464,6958465,6958466,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"用吹箭射中所有的箭靶！","为了彰显吹箭的可用性，<br>用吹箭射中所有的箭靶！","","用吹箭射击指定的箭靶","","","","","","","","放箭",35,26
6,6969729,30,17,20,20,13200,0,20,"ev_snipe_clic0f","","",6969739,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"查看倒在沙滩上的人！","好像有人倒在了海边，<br>寻找那个人并确认其情况！","","查看倒下的人","","","","","","","","查看",15,15
7,6971567,25,3,95,95,2600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f",6971552,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"麻痹弗帕！","用涂有麻痹药的吹箭麻痹弗帕！<br>寻找弗帕，用吹箭射击！","","用吹箭射击弗帕","","","","","","","","放箭",35,26
8,6977220,5,9,14,16,7600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f",6977195,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"让警戒中的帝国兵睡去！","用涂有催眠药的吹箭<br>让警戒中的帝国兵睡去！<br>寻找帝国兵，用吹箭射击！","","用吹箭射击帝国兵","","","","","","","","放箭",35,26
9,6977227,15,2,11,24,7600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f",6977196,7010933,7010934,7010935,7010936,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,9,9,14,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,6600,5000,6000,20000,20000,20000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"让警戒中的帝国兵睡去！","用涂有催眠药的吹箭<br>让警戒中的帝国兵睡去！<br>寻找帝国兵，用吹箭射击！","","用吹箭射击帝国兵","","","","","","","","放箭",35,26
10,6977228,3,4,8,5,6700,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f",6977197,6977198,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,2100,20000,20000,20000,20000,20000,20000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"让警戒中的帝国兵睡去！","帝国河畔堡前有警戒中的帝国兵。<br>用吹箭射击，让其睡去！","","用吹箭射击帝国兵","","","","","","","","放箭",35,26
