Index,0 [UBYTE] [0x12],1 [BBOOL] [0x15],2 [INT] [0x0],3 [SHORT] [0xE],4 [SHORT] [0x10],5 [USHORT] [0x4],6 [UBYTE] [0x13],7 [USHORT] [0x6],8 [UBYTE] [0x14],9 [USHORT] [0x8],10 [USHORT] [0xA],11 [USHORT] [0xC]
0,65,false,613,1578,1434,800,2,2511,0,464,0,0
1,65,false,613,1344,516,600,2,2512,1,465,0,0
2,65,false,613,828,964,600,2,2513,2,466,0,0
3,65,false,613,768,1180,600,2,2514,3,467,0,0
4,65,false,613,192,1802,600,2,2515,4,468,0,0
5,70,false,613,1892,264,600,2,2516,5,472,0,0
6,65,false,614,704,1824,600,2,2517,6,469,0,0
7,65,false,614,1022,1782,600,2,2518,7,470,0,0
8,65,false,614,1688,1776,600,2,2519,8,471,0,0
9,70,false,614,444,1660,600,2,2520,9,473,0,0
10,70,false,614,496,484,600,2,2521,10,474,0,0
11,70,false,622,900,1100,600,2,2522,11,475,0,0
12,70,false,622,1100,1100,600,4,2523,12,476,0,0
13,70,false,621,644,880,600,2,2524,13,477,0,0
14,70,false,621,990,1100,600,2,2525,14,478,0,0
15,70,false,621,1180,1350,600,2,2526,15,479,0,0
