Index,0 [UINT] [0x0],1 [UBYTE] [0x8],2 [UINT] [0x4]
0,0,2,5728
1,14999504,2,5729
2,11315362,2,5730
3,9013124,2,5731
4,6645093,2,5732
5,4736834,2,5733
6,2828579,2,5734
7,15114134,4,5735
8,8612201,4,5736
9,5969705,4,5737
10,7871002,4,5738
11,6431239,4,5739
12,4527377,4,5740
13,13397086,4,5741
14,9517863,4,5742
15,14985866,4,5743
16,12016685,5,5744
17,8206598,5,5745
18,6966071,5,5746
19,7224612,5,5747
20,5188895,5,5748
21,3154203,5,5749
22,13209942,5,5750
23,10055231,5,5751
24,8084525,5,5752
25,10651484,5,5753
26,12940324,5,5754
27,9328667,5,5755
28,6570518,5,5756
29,4008205,5,5757
30,12166281,5,5758
31,9601388,5,5759
32,6378053,5,5760
33,4141865,5,5761
34,15455136,6,5762
35,12034928,6,5763
36,14398551,6,5764
37,16434731,6,5765
38,14982708,6,5766
39,12355588,6,5767
40,15914864,6,5768
41,10847280,6,5769
42,4207377,6,5770
43,5788208,7,5771
44,12303242,7,5772
45,11251796,7,5773
46,7369510,7,5774
47,9149539,7,5775
48,4936242,7,5776
49,3290657,7,5777
50,10204003,7,5778
51,6652481,7,5779
52,2640684,7,5780
53,4219705,7,5781
54,6255960,7,5782
55,3886396,7,5783
56,1976865,7,5784
57,9878969,7,5785
58,4420210,7,5786
59,2049606,7,5787
60,11715790,8,5788
61,8630482,8,5789
62,6586784,8,5790
63,3893382,8,5791
64,1850708,8,5792
65,9345964,8,5793
66,5199718,8,5794
67,3094609,8,5795
68,1711911,8,5796
69,5996480,8,5797
70,3102857,8,5798
71,2310514,8,5799
72,1124676,8,5800
73,2568295,8,5801
74,1579319,8,5802
75,3618631,8,5803
76,3222871,8,5804
77,8880046,9,5805
78,5326176,9,5806
79,3288123,9,5807
80,12033724,9,5808
81,3877437,9,5809
82,16699125,9,5810
83,14457802,9,5811
84,7950956,9,5812
85,6697038,9,5813
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
