Index,0 [UINT] [0x4],1 [UBYTE] [0x8],2 [STRING] [0x0],3 [BBOOL] [0x9],4 [BBOOL] [0x9]
0,0,2,"",false,true
1,14999504,2,"素雪白",false,true
2,11315362,2,"苍白灰",false,true
3,9013124,2,"古菩灰",false,true
4,6645093,2,"石板灰",false,true
5,4736834,2,"木炭灰",false,true
6,2828579,2,"煤烟黑",false,true
7,15114134,4,"玫瑰粉",false,true
8,8612201,4,"丁香紫",false,true
9,5969705,4,"罗兰莓",false,true
10,7871002,4,"卫月红",false,true
11,6431239,4,"铁锈红",false,true
12,4527377,4,"果酒红",false,true
13,13397086,4,"珊瑚粉",false,true
14,9517863,4,"鲜血红",false,true
15,14985866,4,"鲑鱼粉",false,true
16,12016685,5,"日落橙",false,true
17,8206598,5,"台地红",false,true
18,6966071,5,"树皮棕",false,true
19,7224612,5,"巧克力",false,true
20,5188895,5,"铁锈棕",false,true
21,3154203,5,"钴铁棕",false,true
22,13209942,5,"软木棕",false,true
23,10055231,5,"卢恩棕",false,true
24,8084525,5,"奥猴棕",false,true
25,10651484,5,"山羊棕",false,true
26,12940324,5,"南瓜橙",false,true
27,9328667,5,"橡果棕",false,true
28,6570518,5,"果园棕",false,true
29,4008205,5,"山栗棕",false,true
30,12166281,5,"哥布林",false,true
31,9601388,5,"页岩棕",false,true
32,6378053,5,"鼹鼠棕",false,true
33,4141865,5,"沃土棕",false,true
34,15455136,6,"骸骨白",false,true
35,12034928,6,"黄沙棕",false,true
36,14398551,6,"陆行鸟黄",false,true
37,16434731,6,"蜂蜜黄",false,true
38,14982708,6,"玉米黄",false,true
39,12355588,6,"猛豹黄",false,true
40,15914864,6,"奶油黄",false,true
41,10847280,6,"日影黄",false,true
42,4207377,6,"萄干棕",false,true
43,5788208,7,"泥沼绿",false,true
44,12303242,7,"妖精绿",false,true
45,11251796,7,"青柠绿",false,true
46,7369510,7,"苔藓绿",false,true
47,9149539,7,"牧草绿",false,true
48,4936242,7,"橄榄绿",false,true
49,3290657,7,"沼泽绿",false,true
50,10204003,7,"苹果绿",false,true
51,6652481,7,"仙人掌",false,true
52,2640684,7,"猎人绿",false,true
53,4219705,7,"口花绿",false,true
54,6255960,7,"金龟绿",false,true
55,3886396,7,"地神绿",false,true
56,1976865,7,"深林绿",false,true
57,9878969,7,"天上蓝",false,true
58,4420210,7,"绿松蓝",false,true
59,2049606,7,"魔花绿",false,true
60,11715790,8,"寒冰蓝",false,true
61,8630482,8,"天空蓝",false,true
62,6586784,8,"海雾蓝",false,true
63,3893382,8,"孔雀蓝",false,true
64,1850708,8,"罗海蓝",false,true
65,9345964,8,"腐尸蓝",false,true
66,5199718,8,"青磷蓝",false,true
67,3094609,8,"靛青蓝",false,true
68,1711911,8,"油墨蓝",false,true
69,5996480,8,"盗龙蓝",false,true
70,3102857,8,"东洲蓝",false,true
71,2310514,8,"风暴蓝",false,true
72,1124676,8,"虚空蓝",false,true
73,2568295,8,"皇室蓝",false,true
74,1579319,8,"午夜蓝",false,true
75,3618631,8,"阴影蓝",false,true
76,3222871,8,"深渊蓝",false,true
77,8880046,9,"薰衣草",false,true
78,5326176,9,"忧郁紫",false,true
79,3288123,9,"醋栗紫",false,true
80,12033724,9,"虹膜紫",false,true
81,3877437,9,"葡萄紫",false,true
82,16699125,9,"莲花粉",false,true
83,14457802,9,"蜂鸟粉",false,true
84,7950956,9,"仙子梅",false,true
85,6697038,9,"帝王紫",false,true
86,0,0,"",false,false
87,0,0,"",false,false
88,0,0,"",false,false
89,0,0,"",false,false
90,0,0,"",false,false
91,0,0,"",false,false
92,0,0,"",false,false
93,0,0,"",false,false
94,0,0,"",false,false
95,0,0,"",false,false
96,0,0,"",false,false
97,0,0,"",false,false
98,0,0,"",false,false
99,0,0,"",false,false
100,0,0,"",false,false
101,16382196,10,"无瑕白",false,true
102,1973790,10,"煤玉黑",false,true
103,16632006,10,"柔彩粉",false,true
104,3283225,10,"黑暗红",false,true
105,2629916,10,"黑暗棕",false,true
106,12242858,10,"柔彩绿",false,true
107,1387564,10,"黑暗绿",false,true
108,9872601,10,"柔彩蓝",false,true
109,1187629,10,"黑暗蓝",false,true
110,12301786,10,"柔彩紫",false,true
111,2301990,10,"黑暗紫",false,true
112,10987431,10,"闪耀银",true,false
113,15590973,10,"闪耀金",true,false
114,11935051,10,"金属红",true,false
115,14978095,10,"金属橙",true,false
116,16046662,10,"金属黄",true,false
117,2271063,10,"金属绿",true,false
118,6214886,10,"金属蓝",true,false
119,5264089,10,"金属靛",true,false
120,10708674,10,"金属紫",true,false
