Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [USHORT] [0x8],3 [UBYTE] [0xC],4 [UBYTE] [0xD],5 [UBYTE] [0xE],6 [UBYTE] [0xF],7 [BBOOL] [0x14],8 [BBOOL] [0x14],9 [BBOOL] [0x14],10 [BBOOL] [0x14],11 [BBOOL] [0x14],12 [BBOOL] [0x14],13 [BBOOL] [0x14],14 [BBOOL] [0x14],15 [UBYTE] [0x10],16 [UBYTE] [0x11],17 [BBOOL] [0x15],18 [USHORT] [0xA],19 [BBOOL] [0x15],20 [BBOOL] [0x15],21 [UBYTE] [0x12],22 [UBYTE] [0x13]
0,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
1,"石化","手足被石化，无法做出任何行动",15001,0,2,6,122,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
2,"眩晕","无法做出任何行动",15004,0,2,3,125,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
3,"睡眠","陷入沉睡，无法做出任何行动",15013,0,2,2,123,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,3
4,"昏厥","失去知觉，无法做出任何行动",15003,0,2,8,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
5,"能力封印","无法使用能力",15015,0,2,15,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
6,"战技封印","无法发动战技",15017,0,2,14,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
7,"沉默","无法咏唱魔法",15005,0,2,7,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
8,"加速","自动攻击间隔缩短，同时战技与魔法的咏唱及复唱时间也会缩短",15008,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
9,"减速","自动攻击间隔延长，同时战技与魔法的咏唱及复唱时间也会延长",15009,0,2,13,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
10,"减速","受到拘束装置的影响，自动攻击间隔延长，同时战技与魔法的咏唱及复唱时间也会延长",15545,0,2,13,0,false,false,false,false,false,false,true,true,50,0,false,0,false,false,0,0
11,"混乱","头脑变得混乱，会向同伴发动攻击",15603,0,2,17,0,false,false,false,true,false,true,false,false,100,0,false,0,false,false,0,0
12,"浮空","突破了重力的束缚，漂浮到了空中",15037,0,1,16,128,false,false,false,false,false,false,true,true,1,0,false,0,false,false,0,0
13,"止步","无法自由移动",15003,0,2,12,124,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
14,"加重","移动速度降低",15002,0,2,4,126,false,false,false,false,false,false,false,false,100,1,false,0,false,false,0,0
15,"失明","被黑暗笼罩，物理命中降低",15012,0,2,10,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
16,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
17,"麻痹","身体部分机能出现异常，偶尔会无法行动",15006,0,2,5,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
18,"中毒","毒素会导致体力逐渐减少",15007,0,2,1,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
19,"猛毒","毒素会导致体力逐渐减少",15517,0,2,1,0,false,false,false,false,false,false,true,true,10,0,false,0,false,false,0,0
