Index,0 [USHORT] [0x0],1 [UBYTE] [0x6],2 [USHORT] [0x2],3 [UBYTE] [0x7],4 [USHORT] [0x4],5 [UBYTE] [0x8],6 [UBYTE] [0x9],7 [BBOOL] [0xA]
0,0,0,0,0,0,0,2,false
1,122,0,0,0,0,0,2,false
2,125,0,0,0,0,0,2,false
3,123,0,0,0,0,0,2,false
4,128,0,0,0,0,0,2,false
5,124,0,0,0,0,0,2,false
6,126,0,0,0,0,0,2,false
7,139,0,0,0,0,1,2,false
8,146,0,0,0,0,1,2,false
9,147,0,0,0,0,1,2,false
10,148,0,0,0,0,1,2,false
11,140,0,0,0,0,1,2,false
12,141,0,0,0,0,1,2,false
13,142,0,0,0,0,1,2,false
14,143,0,0,0,0,1,2,false
15,144,0,0,0,0,1,2,false
16,145,0,0,0,0,1,2,false
17,129,0,0,0,0,0,3,false
18,127,0,0,0,0,0,3,false
19,130,0,0,0,0,0,3,false
20,131,0,0,0,0,0,3,false
21,210,0,0,0,0,1,2,false
22,211,0,0,0,0,1,2,false
23,132,0,0,0,0,0,3,false
24,133,0,0,0,0,0,3,false
25,134,0,0,0,0,0,3,false
26,502,0,0,0,0,1,3,false
27,150,0,0,0,0,0,2,false
28,0,0,0,0,0,1,2,false
29,135,0,0,0,0,1,3,false
30,495,0,0,0,0,0,2,false
31,497,0,0,0,0,0,2,false
32,500,0,0,0,0,0,2,false
33,151,0,0,0,0,0,2,false
34,516,0,0,0,0,1,2,false
35,509,0,0,0,0,0,2,false
36,520,0,0,0,0,1,2,false
37,0,4,538,7,539,0,2,false
38,539,0,0,0,0,0,2,false
39,540,0,0,0,0,0,2,false
40,542,0,0,0,0,0,2,false
41,543,0,0,0,0,0,2,false
42,544,0,0,0,0,0,2,false
43,546,0,0,0,0,0,2,false
44,551,0,0,0,0,0,2,false
45,552,0,0,0,0,0,2,false
46,553,0,0,0,0,0,3,false
47,554,0,0,0,0,0,1,false
48,555,0,0,0,0,0,3,false
49,556,0,0,0,0,0,2,false
50,557,0,0,0,0,0,2,false
51,558,0,0,0,0,0,2,false
52,563,0,0,0,0,0,2,false
53,564,0,0,0,0,0,2,false
54,573,0,0,0,0,0,2,false
55,574,0,0,0,0,0,2,false
56,575,0,0,0,0,0,2,false
57,576,0,0,0,0,0,2,false
58,578,0,0,0,0,0,2,false
59,579,0,0,0,0,0,2,false
60,584,0,0,0,0,0,2,true
61,585,0,0,0,0,0,2,true
62,587,3,588,5,589,0,2,true
63,590,3,591,5,592,0,2,true
64,599,0,0,0,0,0,2,false
65,600,0,0,0,0,0,2,false
66,601,0,0,0,0,0,2,false
67,602,0,0,0,0,0,2,false
68,593,0,0,0,0,0,2,false
69,594,0,0,0,0,0,2,false
70,596,0,0,0,0,0,2,false
71,597,0,0,0,0,0,2,false
72,603,0,0,0,0,0,2,false
73,151,0,0,0,0,0,1,true
74,615,0,0,0,0,0,2,false
75,620,0,0,0,0,0,2,false
76,621,0,0,0,0,0,2,false
77,622,0,0,0,0,0,2,false
78,625,0,0,0,0,0,2,false
79,626,0,0,0,0,0,2,false
80,627,0,0,0,0,0,2,false
81,632,0,0,0,0,0,2,false
82,633,0,0,0,0,0,2,false
83,636,0,0,0,0,0,2,false
