Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [BBOOL] [0x8],3 [USHORT] [0xC]
0,"","",false,0
1,"永无止境","永无止境",true,1
2,"忠诚","忠诚",true,2
3,"豹拳","豹拳",true,3
4,"斩铁","斩铁",true,4
5,"雪恨","雪恨",true,5
6,"天弓","天弓",true,6
7,"纯白","纯白",true,7
8,"召星","召星",true,8
9,"嗜血","嗜血",true,50
10,"精英杀手","精英杀手",true,60
11,"仁心之富","仁心之富",true,80
12,"冷血之富","冷血之富",true,80
13,"尚武","尚武",true,100
14,"御魔","御魔",true,101
15,"博学","博学",true,102
16,"广识","广识",true,103
17,"刻木金锯","刻木金锯",true,150
18,"锻铁金砧","锻铁金砧",true,151
19,"铸甲金锤","铸甲金锤",true,152
20,"雕金金板","雕金金板",true,153
21,"制革金刀","制革金刀",true,154
22,"裁衣金针","裁衣金针",true,155
23,"炼金金瓶","炼金金瓶",true,156
24,"烹饪金勺","烹饪金勺",true,157
25,"碧海采掘之王","碧海采掘女王",true,200
26,"密林采掘之王","密林采掘女王",true,201
27,"黄沙采掘之王","黄沙采掘女王",true,202
28,"碧海碎石之王","碧海碎石女王",true,203
29,"密林碎石之王","密林碎石女王",true,204
30,"黄沙碎石之王","黄沙碎石女王",true,205
31,"碧海采伐之王","碧海采伐女王",true,206
32,"密林采伐之王","密林采伐女王",true,207
33,"黄沙采伐之王","黄沙采伐女王",true,208
34,"碧海割草之王","碧海割草女王",true,209
35,"密林割草之王","密林割草女王",true,210
36,"黄沙割草之王","黄沙割草女王",true,211
37,"碧海钓鱼之王","碧海钓鱼女王",true,212
38,"密林钓鱼之王","密林钓鱼女王",true,213
39,"黄沙钓鱼之王","黄沙钓鱼女王",true,214
40,"碧海刺鱼之王","碧海刺鱼女王",true,215
41,"密林刺鱼之王","密林刺鱼女王",true,216
42,"黄沙刺鱼之王","黄沙刺鱼女王",true,217
43,"镶嵌专家","镶嵌专家",true,250
44,"物质变换","物质变换",true,251
45,"血战","血战",true,300
46,"学识","学识",true,301
47,"工艺","工艺",true,302
48,"平衡","平衡",true,303
49,"热心肠","热心肠",true,350
50,"百战历练","百战历练",true,351
51,"天衣无缝","天衣无缝",true,352
52,"维和之人","维和之人",true,353
53,"王牌之兵","王牌之兵",true,354
54,"拉诺西亚之利剑","拉诺西亚之利剑",true,355
55,"黑衣森林之利剑","黑衣森林之利剑",true,356
56,"萨纳兰之利剑","萨纳兰之利剑",true,357
57,"艾欧泽亚之利剑","艾欧泽亚之利剑",true,358
58,"拉诺西亚之坚盾","拉诺西亚之坚盾",true,359
59,"黑衣森林之坚盾","黑衣森林之坚盾",true,360
60,"萨纳兰之坚盾","萨纳兰之坚盾",true,361
61,"艾欧泽亚之坚盾","艾欧泽亚之坚盾",true,362
62,"破刃之剑","破刃之剑",true,363
63,"阿泽玛之盾","阿泽玛之盾",true,364
64,"独角之手","独角之手",true,365
65,"正义","正义",true,366
66,"专家","专家",true,400
67,"无神论者","无神论者",true,450
68,"断剑之人","断剑之人",true,451
69,"不碎之岩","不碎之岩",true,452
70,"地灵克星","地灵克星",true,453
71,"鸟人克星","鸟人克星",true,454
72,"蜥蜴人克星","蜥蜴人克星",true,455
73,"小麦酒港之卫","小麦酒港之卫",true,456
74,"林场水车之卫","林场水车之卫",true,457
75,"黄金集市之卫","黄金集市之卫",true,458
76,"小麦酒港之风","小麦酒港之风",true,459
77,"林场水车之风","林场水车之风",true,460
78,"黄金集市之风","黄金集市之风",true,461
79,"小麦酒港之手","小麦酒港之手",true,462
80,"林场水车之手","林场水车之手",true,463
81,"黄金集市之手","黄金集市之手",true,464
82,"狂野","狂野",true,500
83,"凛冬之龙","凛冬之龙",true,501
84,"爱之使者","爱之使者",true,502
85,"皇家总管","樱花公主",true,503
86,"猎蛋人","猎蛋人",true,504
87,"名誉防爆员","名誉防爆员",true,505
88,"水晶搬运者","水晶搬运者",true,506
89,"黑涡先锋队","黑涡先锋队",true,550
90,"双蛇先锋队","双蛇先锋队",true,551
91,"恒辉先锋队","恒辉先锋队",true,552
92,"黑涡精兵队","黑涡精兵队",true,553
93,"双蛇精兵队","双蛇精兵队",true,554
94,"恒辉精兵队","恒辉精兵队",true,555
95,"黑涡军备队","黑涡军备队",true,556
96,"双蛇军备队","双蛇军备队",true,557
97,"恒辉军备队","恒辉军备队",true,558
98,"黑涡后勤队","黑涡后勤队",true,559
99,"双蛇后勤队","双蛇后勤队",true,560
100,"恒辉后勤队","恒辉后勤队",true,561
101,"矫捷","矫捷",true,600
102,"铁卫","铁卫",true,601
103,"迅雷","迅雷",true,602
104,"护卫队员","护卫队员",true,603
105,"放浪之圣徒","放浪之圣徒",true,604
106,"绿瞳","绿瞳",true,605
107,"韬略","韬略",true,606
108,"天道酬勤","天道酬勤",true,607
109,"地牢围攻","地牢围攻",true,608
110,"临危不惧","临危不惧",true,609
111,"防爆组佣兵","防爆组佣兵",true,610
112,"碧海幼狼","碧海幼狼",true,650
113,"碧海吼狼","碧海吼狼",true,651
114,"碧海啸狼","碧海啸狼",true,652
115,"碧海猎狼","碧海猎狼",true,653
116,"碧海巡狼","碧海巡狼",true,654
117,"碧海追狼","碧海追狼",true,655
118,"","",false,0
119,"","",false,0
120,"","",false,0
121,"","",false,0
122,"密林幼狼","密林幼狼",true,660
123,"密林吼狼","密林吼狼",true,661
124,"密林啸狼","密林啸狼",true,662
125,"密林猎狼","密林猎狼",true,663
126,"密林巡狼","密林巡狼",true,664
127,"密林追狼","密林追狼",true,665
128,"","",false,0
129,"","",false,0
130,"","",false,0
131,"","",false,0
132,"黄沙幼狼","黄沙幼狼",true,670
133,"黄沙吼狼","黄沙吼狼",true,671
134,"黄沙啸狼","黄沙啸狼",true,672
135,"黄沙猎狼","黄沙猎狼",true,673
136,"黄沙巡狼","黄沙巡狼",true,674
137,"黄沙追狼","黄沙追狼",true,675
138,"","",false,0
139,"","",false,0
140,"","",false,0
141,"","",false,0
142,"嗜血饿狼","嗜血饿狼",true,700
143,"铁血头狼","铁血头狼",true,701
144,"组织核心","组织核心",true,750
145,"灰党兄弟","灰党姐妹",true,751
146,"妖精之友","妖精之友",true,752
147,"宝物猎人","宝物猎人",true,753
148,"矿团勇士","矿团勇士",true,754
149,"诺布家人","诺布家人",true,755
150,"海川鱼神","海川鱼神",true,756
151,"银白骑士","银白骑士",true,757
152,"血红战士","血红战士",true,758
153,"坚盾骑士","坚盾骑士",true,759
154,"利斧战士","利斧战士",true,760
155,"前线先驱者","前线先驱者",true,761
156,"碧海先驱者","碧海先驱者",true,762
157,"黄沙先驱者","黄沙先驱者",true,764
158,"密林先驱者","密林先驱者",true,763
159,"无人机射手","无人机射手",true,765
160,"逐日英雄","逐日英雄",true,766
161,"狩猎新星","狩猎新星",true,800
162,"狩猎行家","狩猎行家",true,801
163,"狩猎大师","狩猎大师",true,802
164,"赏金猎人","赏金猎人",true,803
165,"赏金佣兵","赏金佣兵",true,804
166,"狩猎队长","狩猎队长",true,805
167,"大王花杀手","大王花杀手",true,850
168,"美瑠姬奴克星","美瑠姬奴克星",true,851
169,"降世化身","降世化身",true,852
170,"征服者","征服者",true,853
171,"分解技工","分解技工",true,900
172,"","",false,0
173,"秘宝猎人","秘宝猎人",true,902
174,"艾欧泽亚的守护者","艾欧泽亚的守护者",true,950
175,"邮递员","邮递员",true,951
176,"长风痞徒","长风痞徒",true,952
177,"能言善道","能言善道",true,953
178,"最终见证","最终见证",true,954
179,"挥竿降龙","挥竿降龙",true,955
180,"鱼太公","鱼太公",true,956
181,"","",false,0
182,"影忍","影忍",true,958
183,"破冰","破冰",true,959
184,"壮志凌云","壮志凌云",true,960
185,"绅士","淑女",true,961
186,"丘比特","丘比特",true,962
187,"麒麟儿","麒麟儿",true,963
188,"不可斩断","不可斩断",true,964
189,"主宰","主宰",true,965
190,"大慈大悲","大慈大悲",true,966
191,"巧手的华光","巧手的华光",true,967
192,"大地的华光","大地的华光",true,968
193,"本我觉醒","本我觉醒",true,969
194,"人偶师","人偶师",true,970
195,"胜负师","胜负师",true,1000
196,"一掷千金","一掷千金",true,1001
197,"育鸟人","育鸟人",true,1002
198,"训鸟专家","训鸟专家",true,1003
199,"学徒骑师","学徒骑师",true,1004
200,"上级骑师","上级骑师",true,1005
201,"资深骑师","资深骑师",true,1006
202,"一流骑师","一流骑师",true,1007
203,"幻卡搜集者","幻卡搜集者",true,1008
204,"幻卡收藏家","幻卡收藏家",true,1009
205,"天命所归","天命所归",true,1010
206,"决斗者","决斗者",true,1011
207,"见机行事","见机行事",true,1012
208,"踏风无痕","踏风无痕",true,1013
209,"仙风道骨","仙风道骨",true,1014
210,"奇光异彩","奇光异彩",true,1015
211,"希望的灯火","希望的灯火",true,1050
