Index,0 [STRING] [0x0],1 [UBYTE] [0x2E],2 [USHORT] [0x2C],3 [UINT] [0x4],4 [UINT] [0x8],5 [UINT] [0xC],6 [UINT] [0x10],7 [UINT] [0x14],8 [UINT] [0x18],9 [UINT] [0x1C],10 [UINT] [0x20],11 [UINT] [0x24],12 [UINT] [0x28]
3276800,"",0,0,0,0,0,0,0,0,0,0,0,0
3276801,"",0,0,0,0,0,0,0,0,0,0,0,0
3276802,"戈耳狄相关道具交易",0,0,1769579,1769605,1769580,1769581,1769606,1769582,1769642,0,0,0
3276803,"弥达斯相关道具交易",0,0,1769643,1769644,1769645,1769646,1769647,1769648,0,0,0,0
3276804,"",2,325,593394,0,0,0,0,0,0,0,0,0
3276805,"",1,325,1769676,1769677,1769678,1769679,593394,0,0,0,0,0
3276806,"亚历山大相关道具交易",0,0,1769689,1769690,1769691,1769692,1769693,1769694,0,0,0,0
3276807,"",0,0,0,0,0,0,0,0,0,0,0,0
3276808,"",0,0,0,0,0,0,0,0,0,0,0,0
3276809,"",0,0,0,0,0,0,0,0,0,0,0,0
3276810,"新生古典装备交易",0,0,1769715,1769716,1769717,0,0,0,0,0,0,0
3276811,"多玛风格装备交易",0,0,1769660,1769661,0,0,0,0,0,0,0,0
3276812,"改良田园郡制装备",0,0,1769734,1769735,1769736,0,0,0,0,0,0,0
3276813,"",1,326,1769676,1769677,1769738,1769678,1769679,1769739,1769749,1769750,593394,0
3276814,"",2,326,1769676,1769677,1769678,1769679,593394,0,0,0,0,0
3276815,"守护者装备交易（战斗精英）",0,0,262677,262678,262679,262680,262681,262682,262683,262684,0,0
3276816,"守护者装备交易（魔法导师）",0,0,262685,262686,262687,262688,262689,0,0,0,0,0
3276817,"狼印战绩（重生）",0,0,1769754,1769756,1769758,1769760,0,0,0,0,0,0
3276818,"狼印战绩（重生）",0,0,1769755,1769757,1769759,1769761,0,0,0,0,0,0
3276819,"狼印战绩（重生）",0,0,1769490,1769492,1769496,1769528,0,0,0,0,0,0
3276820,"狼印战绩（重生）",0,0,1769491,1769493,1769497,1769529,0,0,0,0,0,0
3276821,"狼印战绩（苍穹）",0,0,1769762,1769764,0,0,0,0,0,0,0,0
3276822,"狼印战绩（苍穹）",0,0,1769763,1769765,0,0,0,0,0,0,0,0
3276823,"狼印战绩（苍穹）",0,0,1769585,1769653,0,0,0,0,0,0,0,0
3276824,"狼印战绩（苍穹）",0,0,1769586,1769654,0,0,0,0,0,0,0,0
3276825,"战斗精英防具交易",0,0,262700,262701,262702,262703,262704,0,0,0,0,0
3276826,"魔法导师防具交易",0,0,262705,262706,262707,262708,262709,0,0,0,0,0
3276827,"制作采集职业防具交易",0,0,262710,262711,262712,262713,262714,0,0,0,0,0
3276828,"战斗精英武器交易",0,0,262715,262716,262717,262718,262719,0,0,0,0,0
3276829,"魔法导师武器交易",0,0,262720,262721,262722,262723,262724,0,0,0,0,0
3276830,"能工巧匠工具交易",0,0,262725,262726,262727,262728,262729,0,0,0,0,0
3276831,"大地使者工具交易",0,0,262730,262731,262732,262733,262734,0,0,0,0,0
3276832,"战斗精英防具交易",0,0,262703,262704,262737,262738,262739,262740,262741,262820,0,0
3276833,"魔法导师防具交易",0,0,262708,262709,262743,262744,262745,262746,262747,262827,0,0
3276834,"制作采集职业防具交易",0,0,262713,262714,262749,0,0,0,0,0,0,0
3276835,"战斗精英武器交易",0,0,262718,262719,262750,262751,262752,262753,262754,262835,0,0
3276836,"魔法导师武器交易",0,0,262723,262724,262756,262757,262758,262759,262760,262842,0,0
3276837,"能工巧匠工具交易",0,0,262728,262729,262762,0,0,0,0,0,0,0
3276838,"大地使者工具交易",0,0,262733,262734,262763,0,0,0,0,0,0,0
3276839,"再次购入特职专用装备",0,0,262445,262443,262444,262896,262897,262898,262899,0,0,0
3276840,"再次购入报酬",0,0,262446,262449,262450,0,0,0,0,0,0,0
3276841,"性别限定装备交易",0,0,1769513,1769688,1769512,1769687,0,0,0,0,0,0
3276842,"特殊商品交易",0,0,1769753,1769607,1769610,0,0,0,0,0,0,0
3276843,"",0,0,0,0,0,0,0,0,0,0,0,0
3276844,"",0,0,0,0,0,0,0,0,0,0,0,0
3276845,"",0,0,0,0,0,0,0,0,0,0,0,0
3276846,"",0,0,0,0,0,0,0,0,0,0,0,0
3276847,"",0,0,0,0,0,0,0,0,0,0,0,0
3276848,"",0,0,0,0,0,0,0,0,0,0,0,0
3276849,"",0,0,0,0,0,0,0,0,0,0,0,0
3276850,"",0,0,0,0,0,0,0,0,0,0,0,0
3276851,"",0,0,0,0,0,0,0,0,0,0,0,0
3276852,"",0,0,0,0,0,0,0,0,0,0,0,0
3276853,"",0,0,0,0,0,0,0,0,0,0,0,0
3276854,"",0,0,0,0,0,0,0,0,0,0,0,0
3276855,"",0,0,0,0,0,0,0,0,0,0,0,0
3276856,"",0,0,0,0,0,0,0,0,0,0,0,0
3276857,"",0,0,0,0,0,0,0,0,0,0,0,0
3276858,"",0,0,0,0,0,0,0,0,0,0,0,0
3276859,"",0,0,0,0,0,0,0,0,0,0,0,0
3276860,"",0,0,0,0,0,0,0,0,0,0,0,0
3276861,"",0,0,0,0,0,0,0,0,0,0,0,0
3276862,"",0,0,0,0,0,0,0,0,0,0,0,0
3276863,"",0,0,0,0,0,0,0,0,0,0,0,0
3276864,"",0,0,0,0,0,0,0,0,0,0,0,0
3276865,"",0,0,0,0,0,0,0,0,0,0,0,0
3276866,"",0,0,0,0,0,0,0,0,0,0,0,0
3276867,"",0,0,0,0,0,0,0,0,0,0,0,0
3276868,"",0,0,0,0,0,0,0,0,0,0,0,0
3276869,"",0,0,0,0,0,0,0,0,0,0,0,0
3276870,"",0,0,0,0,0,0,0,0,0,0,0,0
3276871,"",0,0,0,0,0,0,0,0,0,0,0,0
3276872,"",0,0,0,0,0,0,0,0,0,0,0,0
3276873,"",0,0,0,0,0,0,0,0,0,0,0,0
3276874,"",0,0,0,0,0,0,0,0,0,0,0,0
3276875,"",0,0,0,0,0,0,0,0,0,0,0,0
3276876,"",0,0,0,0,0,0,0,0,0,0,0,0
3276877,"",0,0,0,0,0,0,0,0,0,0,0,0
3276878,"",0,0,0,0,0,0,0,0,0,0,0,0
3276879,"",0,0,0,0,0,0,0,0,0,0,0,0
3276880,"",0,0,0,0,0,0,0,0,0,0,0,0
3276881,"",0,0,0,0,0,0,0,0,0,0,0,0
3276882,"",0,0,0,0,0,0,0,0,0,0,0,0
3276883,"",0,0,0,0,0,0,0,0,0,0,0,0
3276884,"",0,0,0,0,0,0,0,0,0,0,0,0
3276885,"",0,0,0,0,0,0,0,0,0,0,0,0
3276886,"",0,0,0,0,0,0,0,0,0,0,0,0
3276887,"",0,0,0,0,0,0,0,0,0,0,0,0
3276888,"",0,0,0,0,0,0,0,0,0,0,0,0
3276889,"",0,0,0,0,0,0,0,0,0,0,0,0
3276890,"",0,0,0,0,0,0,0,0,0,0,0,0
3276891,"",0,0,0,0,0,0,0,0,0,0,0,0
3276892,"",0,0,0,0,0,0,0,0,0,0,0,0
3276893,"",0,0,0,0,0,0,0,0,0,0,0,0
3276894,"",0,0,0,0,0,0,0,0,0,0,0,0
