Index,0 [UBYTE] [0x10],1 [UINT] [0x0],2 [INT] [0x4],3 [INT] [0x8],4 [INT] [0xC],5 [UBYTE] [0x11],6 [UBYTE] [0x12]
0,1,60356,6688,2001087,0,1,0
1,1,60356,6688,2001087,0,1,0
2,1,60356,6689,2001088,0,1,0
3,1,60355,6690,2001089,0,1,0
4,1,60354,6691,2001090,0,1,0
5,1,60354,6692,2001091,0,8,0
6,1,60354,7884,2001223,0,1,1
7,1,60354,8156,2001352,0,1,0
8,1,60354,9900,2001551,0,1,2
9,1,60356,12241,2001762,0,1,0
10,1,60355,12242,2001763,0,1,0
11,1,60354,12243,2001764,2001977,8,0
12,1,60355,17835,2002209,0,1,0
13,1,60354,17836,2002210,0,8,0
14,0,0,0,0,0,0,0
