Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [BYTE] [0x8],3 [BYTE] [0x9],4 [BYTE] [0xA],5 [BYTE] [0xB],6 [BYTE] [0xC],7 [BYTE] [0xD],8 [BYTE] [0xE],9 [BYTE] [0xF]
0,"","",0,0,0,0,0,0,0,0
1,"中原之民","中原之民",0,0,1,0,-1,1,-2,1
2,"高地之民","高地之民",0,0,3,2,0,-2,0,-3
3,"森林之民","森林之民",0,0,-1,-2,3,2,-3,1
4,"黑影之民","黑影之民",0,0,0,-1,0,3,0,-2
5,"平原之民","平原之民",0,0,-2,-2,2,1,0,1
6,"沙漠之民","沙漠之民",0,0,-3,-3,0,1,2,3
7,"逐日之民","逐日之民",0,0,1,0,2,-2,-1,0
8,"护月之民","护月之民",0,0,-2,-3,1,-1,3,2
9,"北洋之民","北洋之民",0,0,2,3,-2,-3,1,-1
10,"红焰之民","红焰之民",0,0,0,1,-3,0,2,0
11,"晨曦之民","晨曦之民",0,0,-3,-2,1,0,2,2
12,"暮晖之民","暮晖之民",0,0,3,1,0,0,-3,-1
