Index,0 [USHORT] [0x20],1 [USHORT] [0x22],2 [USHORT] [0x24],3 [USHORT] [0x26],4 [USHORT] [0x28],5 [USHORT] [0x2A],6 [USHORT] [0x2C],7 [USHORT] [0x2E],8 [USHORT] [0x30],9 [USHORT] [0x32],10 [UBYTE] [0x3A],11 [UBYTE] [0x3B],12 [BBOOL] [0x3D],13 [USHORT] [0x34],14 [UBYTE] [0x3C],15 [UINT] [0x0],16 [UINT] [0x4],17 [UINT] [0x8],18 [USHORT] [0x36],19 [USHORT] [0x38],20 [UINT] [0xC],21 [UINT] [0x10],22 [UINT] [0x14],23 [UINT] [0x18],24 [UINT] [0x1C],25 [BBOOL] [0x3D]
2293760,0,0,0,0,0,0,0,0,0,0,0,0,false,0,1,0,0,0,0,0,0,0,0,0,0,false
2293761,0,0,0,0,0,0,0,0,0,0,0,0,false,0,1,0,0,0,0,0,0,0,0,0,0,false
2293762,37,14,1,0,0,21,2,7,12,0,2,0,false,10,1,0,0,0,0,0,592042,592043,592044,592045,592046,true
2293763,23,3,4,0,0,26,11,15,20,0,2,4,true,10,1,0,0,0,0,0,592047,592048,592049,592050,592051,false
2293764,36,7,10,0,0,24,16,8,0,0,2,0,false,10,1,0,0,0,0,0,592052,592053,592054,592055,592056,false
2293765,26,9,13,0,0,25,15,5,6,0,2,0,false,10,1,0,0,0,0,0,592057,592058,592059,592060,592061,false
2293766,38,26,6,0,0,27,13,11,8,0,3,6,true,15,1,0,0,0,0,0,592062,592063,592064,592065,592066,false
2293767,30,29,15,0,0,35,28,11,12,5,3,0,false,15,1,66046,0,0,0,0,592067,592068,592069,592070,592071,false
2293768,22,28,13,0,0,26,4,7,8,0,3,0,false,15,1,0,0,0,0,0,592072,592073,592074,592075,592076,false
2293769,28,30,14,0,0,36,29,13,10,8,3,0,false,15,1,66046,0,0,0,0,592077,592078,592079,592080,592081,false
2293770,45,36,14,0,0,23,13,18,5,6,3,0,false,15,1,0,0,0,0,0,592082,592083,592084,592085,592086,false
2293771,13,7,2,5,4,0,0,0,0,0,2,0,true,5,1,0,0,0,0,0,592087,592088,592089,592090,592091,false
2293772,38,33,2,0,0,59,26,14,12,15,3,0,false,20,1,0,0,0,0,0,592092,592093,592094,592095,592096,false
2293773,51,24,37,0,0,27,20,16,12,0,3,7,true,20,1,0,0,0,0,0,592097,592098,592099,592100,592101,false
2293774,56,24,35,0,0,44,30,10,18,14,3,0,false,20,1,0,0,0,1200,2000,592102,592103,592104,592105,592106,false
2293775,41,34,2,0,0,49,26,22,20,0,3,0,false,20,1,66053,0,0,2000,800,592107,592108,592109,592110,592111,false
2293776,54,33,19,0,0,37,25,15,13,20,3,0,false,20,1,66503,0,0,0,0,592112,592113,592114,592115,592116,false
2293777,28,29,30,0,0,49,21,27,18,17,3,0,false,20,1,66046,0,0,0,0,592117,592118,592119,592120,592121,false
2293778,33,28,2,0,0,67,46,19,20,13,3,0,false,20,1,66046,0,0,0,0,592122,592123,592124,592125,592126,false
2293779,45,34,11,0,0,60,41,22,27,2,3,0,false,20,1,0,0,0,1000,2000,592127,592128,592129,592130,592131,false
2293780,55,51,50,0,0,44,38,26,33,0,8,0,false,25,1,0,0,0,0,0,592132,592133,592134,592135,592136,false
2293781,59,56,47,0,0,57,58,43,50,45,12,5,true,25,1,0,0,0,0,0,592137,592138,592139,592140,592141,false
2293782,52,53,57,0,0,44,47,42,38,35,9,0,false,25,1,0,0,0,1600,800,592142,592143,592144,592145,592146,false
2293783,66,52,43,0,0,48,42,39,44,0,8,0,false,25,1,66050,0,0,0,0,592147,592148,592149,592150,592151,false
2293784,58,51,33,0,0,45,38,47,0,0,4,6,true,25,1,67029,0,0,0,0,592152,592153,592154,592155,592156,true
2293785,52,41,0,0,0,61,40,34,32,13,11,7,true,25,1,66053,0,0,0,0,592157,592158,592159,592160,592161,false
2293786,61,50,45,0,0,62,41,39,49,0,6,0,true,30,1,0,0,0,0,0,592162,592163,592164,592165,592166,false
2293787,66,56,53,0,0,63,58,48,43,0,12,0,true,30,2,66219,66220,66221,2200,300,592167,592168,592169,592170,592171,false
