Index,0 [STRING] [0x0],1 [BYTE] [0xC],2 [STRING] [0x4],3 [BYTE] [0xD],4 [BYTE] [0xE],5 [BYTE] [0xF],6 [BYTE] [0x10],7 [BYTE] [0x11],8 [STRING] [0x8]
0,"0",0,"0",0,0,1,0,0,""
1,"渡渡鸟",0,"0",0,0,1,0,0,"原产自马兹拉雅岛的大型鸟类，因为过于肥胖而失去了飞行的能力。当初一部分卢恩人将渡渡鸟的蛋带到了大陆上，后来一部分没有被吃掉的蛋孵化成功，从此不会飞的渡渡鸟成功跨越了大洋走进大陆。渡渡鸟的胸肉特别美味，现在在艾欧泽亚的各大城邦都有饲养。不过家养并不意味着没有危险，渡渡鸟口中的催眠分泌物特别强劲，在遭到攻击时会吐向对方以求自保。"
2,"冬贝利",0,"0",0,0,1,0,0,"谜一般的生物，集体生活在第五星历时代繁荣兴盛的尼姆文明的遗迹里。和人一样穿着衣服，并且从它们能驾驭各种道具来看，想必拥有着较高的智能。在尼姆时代的石板上，有着“病魔搬运者”等不吉利的记载。"
3,"仙人刺",0,"0",0,0,1,0,0,"生活在干燥地区且会移动的仙人掌。因能在体内存留水分来长期抵御干燥而被人广泛知晓。为了能在残酷的环境中生存下去，它们会积极采取自卫行动，从体内射出针刺来攻击它们的敌人。"
4,"魔石精",0,"0",0,0,1,0,0,"出没于石场和矿山的黑色魔物。它们一直小心翼翼地抱着一块珍贵的石头，所以也被采矿工们敬称为“财宝守护者”。不过根据古籍«百石大鉴»中的记载，其实魔石精是被石头支配了。于是后人根据这一点将其在物种上划分到了咒具纲中。"
5,"软糊怪",0,"0",0,0,1,0,0,"虚无界中满是污水的沼泽里产生的异形魔物。它们能够模仿人类的声音吸引猎物，不过自身的智慧却很低。根据妖异学者分出的“妖异十二阶”来看，软糊怪在其中也就排第十阶级，属于下级妖异。"
6,"爆弹怪",0,"0",0,0,1,0,0,"“妖异十二阶”中排名第十一阶级的火球状气体生物。它们只要一见到体内含有油脂的生物，无论是动物植物还是人类，就会为了让油脂成为自身的燃料而无差别地发起攻击。而其中一类温度更高的爆弹怪被称作“榴弹怪”，可排进“妖异十二阶”的第十阶级。"
7,"蔓德拉",0,"0",0,0,1,0,0,"第七灵灾后突然出现的类似植物的生物。具体是从哪里来的，至今未能解明。它们好像有着特殊的智能，可以不通过语言就相互进行交流，因还在研究途中，所以具体情况还不是很了解。"
8,"矿爬虫",0,"0",0,0,1,0,0,"这种奇妙的魔物会四处爬行寻找能够形成自己甲壳的矿物。关于这种魔物有两种截然不同的解释：格里达尼亚的学者认为这是一种为了自保而在背上植入矿石的动物；乌尔达哈的学者则认为这是一种为了增殖而寄生并控制动物行动的矿石。"
9,"魔界花",0,"0",0,0,1,0,0,"利用卷须爬行的大型食兽植物。为了引诱猎物同时也为了让猎物昏厥，它们会从捕食器官放出强烈的香气。捕食器官里大量牙状的棘不是为了将猎物咬碎，而是为了固定住猎物并将其完全消化。"
