Index,0 [USHORT] [0x0],1 [UBYTE] [0x4],2 [UBYTE] [0x5],3 [UBYTE] [0x6],4 [UBYTE] [0x7],5 [UBYTE] [0x8],6 [UBYTE] [0x9],7 [USHORT] [0x2],8 [UBYTE] [0xA]
0,65535,0,0,0,0,1,0,0,0
1,0,4,3,4,2,1,0,0,1
2,1,2,7,2,2,1,0,100,2
3,2,4,3,3,3,1,0,0,3
4,3,2,4,4,3,1,0,100,4
5,4,2,3,5,4,1,0,100,5
6,5,3,3,3,4,1,0,0,6
7,6,4,5,3,2,1,0,0,7
8,7,3,3,4,3,1,0,100,8
9,8,5,5,2,2,1,0,100,9
10,9,2,2,5,5,1,0,0,10
11,10,5,2,2,5,1,0,100,11
12,11,2,5,2,5,1,0,100,12
13,12,3,2,1,7,1,0,100,18
14,13,1,7,1,4,1,3,100,19
15,14,6,3,4,1,1,3,100,20
16,15,2,5,4,4,1,3,100,21
17,16,2,4,6,2,1,3,100,22
18,17,4,3,3,5,1,3,100,23
19,18,7,3,2,2,1,2,100,27
20,19,2,3,7,1,1,3,100,24
21,20,3,7,2,6,2,0,300,34
22,21,2,6,7,3,2,0,300,35
23,22,6,2,3,7,2,0,300,36
24,23,7,2,6,3,2,0,300,37
25,24,7,2,2,7,2,0,300,38
26,25,2,7,7,2,2,0,300,39
27,26,6,2,6,6,2,3,300,44
28,27,7,5,3,5,2,0,300,59
29,28,3,5,5,7,2,0,300,60
30,29,5,3,7,5,2,0,300,61
31,30,3,7,1,7,2,4,300,53
32,31,7,3,7,1,2,4,300,54
33,32,5,7,5,3,2,0,300,66
34,33,1,3,7,7,2,0,300,63
35,34,6,6,6,2,2,3,300,45
36,35,2,6,6,6,2,3,300,46
37,36,6,6,2,6,2,3,300,47
38,37,7,4,2,8,3,0,500,74
39,38,8,7,3,3,3,0,500,117
40,39,7,6,7,1,3,1,500,102
41,40,1,7,6,7,3,1,500,103
42,41,7,1,7,6,3,1,500,104
43,42,7,7,1,6,3,1,500,105
44,43,5,6,6,6,3,0,500,118
45,44,6,5,6,6,3,0,500,119
46,45,2,8,7,3,3,2,500,113
47,46,4,8,7,1,3,4,500,109
48,47,3,8,2,7,3,2,500,114
49,48,7,1,4,8,3,2,500,115
50,49,8,4,7,1,3,2,500,116
51,50,7,9,1,8,4,4,800,153
52,51,8,1,8,8,4,1,800,145
53,52,8,8,8,1,4,1,800,146
54,53,8,8,1,8,4,1,800,147
55,54,1,8,8,8,4,1,800,148
56,55,9,3,5,8,4,2,800,157
57,56,4,4,8,9,4,0,800,165
58,57,5,9,2,9,4,0,800,166
59,58,9,3,9,3,4,2,800,158
60,59,9,9,3,4,4,2,800,159
61,60,9,9,6,5,5,1,1500,174
62,61,1,10,8,8,5,0,1500,180
63,62,10,4,8,6,5,0,1500,184
64,63,4,5,9,10,5,4,1500,177
65,64,5,10,3,9,5,0,1500,181
66,65,9,1,7,10,5,0,1500,182
67,66,6,9,10,2,5,0,1500,183
68,67,10,5,10,2,5,0,1500,190
69,68,10,10,1,5,5,0,1500,191
70,69,8,8,10,2,5,0,1500,192
71,70,4,4,10,10,5,0,1500,193
72,71,4,10,10,4,5,0,1500,194
73,72,10,2,5,10,5,0,1500,195
74,73,9,9,8,3,5,0,1500,196
75,74,6,10,1,10,5,0,0,197
76,75,5,6,8,10,5,0,1500,198
77,76,10,1,9,7,5,0,1500,199
78,77,4,7,9,9,5,0,0,200
79,78,1,10,9,7,5,0,0,201
80,79,9,7,10,1,5,0,1500,202
81,80,4,1,7,1,1,0,100,13
82,81,2,4,7,6,2,3,300,48
83,82,6,7,3,3,2,3,300,49
84,83,7,1,3,7,2,0,300,67
85,84,5,5,5,5,2,0,300,43
86,85,5,7,8,1,3,0,500,83
87,86,1,8,7,5,3,0,500,84
88,87,8,2,3,8,3,0,500,121
89,88,8,3,8,2,3,0,500,122
90,89,4,8,1,8,3,0,500,123
91,90,1,8,8,4,3,0,500,124
92,91,8,8,1,3,3,0,500,125
93,92,1,3,8,8,3,0,500,126
94,93,8,1,7,4,3,0,500,85
95,94,7,5,8,1,3,0,0,127
96,95,1,9,9,5,4,0,800,168
97,96,9,8,1,7,4,1,800,149
98,97,1,7,8,9,4,1,800,150
99,98,10,3,8,7,5,0,1500,185
100,99,3,10,7,8,5,0,0,187
101,100,1,7,2,3,1,0,100,14
102,101,5,6,5,4,2,0,300,28
103,102,4,3,6,6,2,0,300,29
104,103,6,3,5,5,2,0,300,30
105,104,6,3,4,6,2,0,300,31
106,105,7,3,2,7,2,0,300,32
107,106,6,7,3,3,2,0,300,33
108,107,8,7,4,2,3,0,500,75
109,108,5,5,8,5,3,0,500,77
110,109,6,3,6,6,3,0,500,88
111,110,3,3,7,7,3,0,500,89
112,111,6,7,4,4,3,0,500,97
113,112,6,6,6,5,3,0,500,130
114,113,6,5,7,6,3,0,500,131
115,114,8,4,5,5,3,3,500,98
116,115,7,4,3,8,3,0,500,133
117,116,2,8,8,2,3,3,500,99
118,117,9,7,6,5,4,0,800,169
119,118,8,6,8,8,5,4,1500,178
120,119,7,10,9,1,5,0,1500,188
121,120,7,7,2,2,2,0,300,69
122,121,2,2,7,7,2,2,300,58
123,122,8,5,4,4,3,0,500,78
124,123,2,4,7,8,3,0,500,76
125,124,7,6,4,3,3,0,500,79
126,125,3,6,6,6,3,0,500,80
127,126,7,7,5,1,3,0,500,81
128,127,3,2,8,7,3,3,500,100
129,128,4,8,4,6,3,0,500,82
130,129,6,6,3,6,3,0,500,90
131,130,8,2,7,3,3,0,500,91
132,131,1,6,7,7,3,0,500,96
133,132,4,3,7,7,3,0,500,128
134,133,7,7,3,4,3,0,500,129
135,134,9,6,7,4,4,0,800,142
136,135,7,7,7,7,4,0,800,141
137,136,6,8,6,8,4,1,800,151
138,137,9,3,7,7,4,2,800,160
139,138,8,8,6,6,4,0,0,170
140,139,7,7,6,10,5,0,1500,173
141,140,4,7,3,3,2,0,300,62
142,141,2,3,6,6,2,0,300,68
143,142,7,3,3,6,2,0,300,70
144,143,5,4,6,6,2,0,300,64
145,144,2,7,2,7,2,0,300,65
146,145,1,4,8,8,3,0,500,132
147,146,1,7,7,6,3,0,500,86
148,147,4,4,7,6,3,0,500,87
149,148,5,7,6,6,3,0,500,120
150,149,6,6,8,8,4,0,800,167
151,150,9,5,6,6,4,0,800,171
152,151,5,7,8,8,4,0,800,143
153,152,7,10,6,7,5,0,1500,186
154,153,3,4,1,4,1,0,100,15
155,154,6,4,1,1,1,0,100,16
156,155,4,2,3,3,1,4,100,26
157,156,4,6,6,3,2,0,300,40
158,157,7,4,5,3,2,0,300,41
159,158,5,6,3,5,2,3,300,50
160,159,6,6,3,3,2,4,300,55
161,160,5,1,7,7,3,0,500,92
162,161,7,6,2,6,3,3,500,101
163,162,7,2,8,3,3,1,500,106
164,163,4,6,5,7,3,0,500,134
165,164,8,7,9,1,4,2,0,161
166,165,9,2,5,9,4,2,0,162
167,166,3,3,9,9,4,4,800,154
168,167,10,5,6,8,5,1,1500,175
169,168,1,2,6,4,1,0,100,17
170,169,5,4,4,7,2,0,300,42
171,170,3,4,7,5,2,4,300,56
172,171,3,5,5,5,2,4,300,57
173,172,4,1,6,7,2,0,300,71
174,173,3,5,5,8,3,0,500,93
175,174,5,4,5,7,3,4,500,110
176,175,6,6,7,2,3,4,500,111
177,176,8,4,1,8,3,0,500,135
178,177,2,8,3,7,3,0,500,136
179,178,4,8,9,4,4,0,800,144
180,179,3,9,7,5,4,4,800,155
181,180,6,4,7,8,4,0,800,172
182,181,3,8,10,7,5,1,1500,176
183,182,1,1,5,6,1,3,100,25
184,183,4,5,4,5,2,3,300,51
185,184,3,5,2,7,2,3,300,52
186,185,4,4,7,1,2,0,300,72
187,186,5,2,6,6,2,0,300,73
188,187,6,8,3,3,3,0,500,94
189,188,8,3,1,8,3,0,500,95
190,189,2,3,8,8,3,1,500,107
191,190,3,7,5,7,3,1,500,108
192,191,7,7,4,4,3,4,500,112
193,192,4,8,2,7,3,0,500,137
194,193,3,6,8,5,3,0,500,138
195,194,6,4,4,7,3,0,500,139
196,195,6,7,4,6,3,0,500,140
197,196,7,8,2,8,4,1,800,152
198,197,9,8,6,2,4,4,800,156
199,198,2,8,7,8,4,2,0,163
200,199,6,1,8,9,4,2,0,164
201,200,6,7,10,6,5,4,1500,179
202,201,2,5,10,10,5,0,1500,189
