Index,0 [UINT] [0x0],1 [UINT] [0x4]
0,0,0
1,-1,1278488575
2,-858993409,1733248511
3,-1600085761,-2039521025
4,-2139062017,-1601538049
5,1684301055,-1230927105
6,858993663,-86397185
7,255,-792577
8,-287193601,2102541311
9,-1048856577,2101704191
10,-2828033,-1860622849
11,-1770758401,-1720229633
12,-6710785,-1858454785
13,-1453310721,-2024918273
14,-868796417,-1811939073
15,-379433729,2014578175
16,-452964353,-872396801
17,-603979521,-603979521
18,-2043662081,-1472381441
19,1141571839,-340481537
20,-1011046913,-2023404801
21,-1566930945,-1551407105
22,-658801153,1932397055
23,-1652335617,-1418177793
24,-478977,1633429759
25,-39169,-1852763649
26,-674543873,-1348125697
27,-1920466689,-1145616129
28,-425248001,-1721696001
29,1934954495,-1113231361
30,1631663103,-810902529
31,-204708609,-1501620481
32,-259115009,-1555300097
33,-739317249,1181969407
34,-1611730433,711683839
35,2043145471,677806847
36,828475135,1787668735
37,10092543,5739007
38,5288703,1516928511
39,-1798387713,1083279615
40,-1998803201,763712767
41,1169338111,696089343
42,-1747164929,1199904255
43,-1929422081,1889606655
44,1975189759,1450516991
45,13378303,429129983
46,679626495,1202538495
47,171514111,-1460173057
48,-1434320897,1615303167
49,1429521151,2104729343
50,-1,-1
51,255,255
52,332178431,332178431
53,174691071,174691071
54,-1905652481,-1905652481
500,-8709377,-8709377
501,255,-792577
502,1086324735,1086324735
503,255,-792577
504,13378303,13378303
505,255,-792577
506,-39169,-39169
507,255,-792577
508,-8355585,-8355585
509,255,-792577
510,-1513217,-1513217
511,-1070595841,-1070595841
512,-1093795841,-1093795841
513,455843583,455843583
514,-507182866,-507182866
515,-1513217,-1513217
516,-1070595841,-1070595841
517,1725104127,1725104127
518,-14154497,-14154497
519,-1,-1
520,-962969089,-962969089
521,-1,-1
522,-998774017,-998774017
523,-1316097,-1316097
524,-9399553,-9399553
525,-1,-1
526,1203437567,1203437567
527,-5373697,-5373697
528,-1956708097,-1956708097
529,819396607,819396607
530,1030061567,1030061567
531,-8232449,-8232449
532,-2142618625,-2142618625
533,-3618561,-3618561
534,-1375731457,-1375731457
535,-16129,-16129
536,-1604845313,-1604845313
537,-4128769,-4128769
538,1073783039,1073783039
539,-11447809,-11447809
540,-4843009,-4843009
541,-1067712769,-1067712769
542,9895935,9895935
543,1638399,1638399
544,-11112705,-11112705
545,-1275068161,-1275068161
546,1622735615,1622735615
547,-1002871809,-1002871809
548,-238681857,-238681857
549,-202116097,-202116097
550,255,1363032063
551,-1056980737,-1056980737
552,255,1363032063
553,1502674943,1502674943
554,255,1363032063
555,-1282605057,-1282605057
556,255,1363032063
557,-5871873,-5871873
558,255,1363032063
559,-2024961,-2024961
560,255,1363032063
561,-91638017,-91638017
562,255,1363032063
563,-373121793,-373121793
564,255,1363032063
565,-1,-1
566,1203437567,1203437567
567,-1,-1
568,-425248001,-425248001
569,-1,-1
570,13378303,13378303
