Index,0 [UINT] [0x8],1 [UINT] [0xC],2 [UINT] [0x10],3 [UINT] [0x14],4 [USHORT] [0x18],5 [USHORT] [0x1A],6 [USHORT] [0x1C],7 [USHORT] [0x1E],8 [BBOOL] [0x20],9 [STRING] [0x0],10 [STRING] [0x4]
131072,0,0,0,0,1,1,0,0,false,"",""
131073,2040811,0,0,0,2,2,0,0,false,"",""
131074,3884000,590352,590353,0,3,1,0,0,false,"","要进入神勇队司令室吗？"
131075,3884182,0,0,0,1,1,0,0,false,"","要离开神勇队司令室吗？"
131076,3878860,0,0,0,1,1,0,0,false,"","要离开芙蓉圆桌吗？"
131077,1381039,590354,590355,0,4,1,0,0,false,"前往花蜜栈桥","要乘船前往花蜜栈桥吗？"
131078,1381038,590356,590259,0,4,1,0,0,false,"","要乘船前往格里达尼亚旧街吗？"
131079,4124796,0,0,0,5,3,0,0,false,"",""
131080,1359058,0,0,0,5,4,0,0,false,"",""
131081,4124801,0,0,0,5,5,0,0,false,"",""
131082,4125264,0,0,0,1,1,0,0,false,"","要离开吗？"
131083,2232680,0,0,0,1,1,0,0,false,"","要离开吗？"
131084,4125288,0,0,0,1,1,0,0,false,"","要离开吗？"
131085,4107979,0,0,0,1,1,0,0,false,"","要离开银胄团总长室吗？"
131086,4143657,590441,590620,590448,6,1,0,0,false,"","要乘船前往月牙湾吗？<br>交通费为40金币。"
131087,4143677,590442,590621,590449,6,1,0,0,false,"","要乘船前往白银集市吗？<br>交通费为40金币。"
131088,4107477,0,590450,0,7,1,0,0,false,"","要进入沙之家吗？"
131089,4132388,0,0,0,1,1,0,0,false,"","要离开沙之家吗？"
131090,4148347,0,590564,0,21,1,0,0,false,"","要进入拂晓之间吗？"
131091,4148350,0,0,0,1,1,0,0,false,"","要离开拂晓之间吗？"
131092,4158063,0,0,0,1,1,0,0,false,"4层：利姆萨·罗敏萨飞艇坪","要前往4层的利姆萨·罗敏萨飞艇坪吗？"
