Index,0 [INT] [0x4],1 [STRING] [0x0]
0,0,""
1,60201,"碧空"
2,60202,"晴朗"
3,60203,"阴云"
4,60204,"薄雾"
5,60205,"微风"
6,60206,"强风"
7,60207,"小雨"
8,60208,"暴雨"
9,60209,"打雷"
10,60210,"雷雨"
11,60211,"扬沙"
12,60212,"沙尘暴"
13,60213,"高温"
14,60214,"热浪"
15,60215,"小雪"
16,60216,"暴雪"
17,60218,"妖雾"
18,60217,"极光"
19,60251,"黑暗"
20,60255,"绝命"
21,0,""
22,0,""
23,0,""
24,0,""
25,60257,"阴沉"
26,60252,"热浪"
27,60256,"妖雾"
28,60253,"暴风"
29,60254,"烟雾"
30,60202,"晴朗"
31,60202,"晴朗"
32,60202,"晴朗"
33,60202,"晴朗"
34,60202,"晴朗"
35,0,""
36,0,""
37,0,""
38,0,""
39,0,""
40,0,""
