Index,0 [STRING] [0x4],1 [STRING] [0x0],2 [UBYTE] [0x8],3 [UBYTE] [0x9],4 [BBOOL] [0xA]
0,"Zvahl","GM测试用",0,0,false
1,"c-funereus","非公开C系服务器",0,2,false
2,"c-contents","非公开C系搜索器",0,0,false
3,"c-whiteae","非公开C系服务器",0,1,false
4,"c-baudinii","非公开C系服务器",0,0,false
5,"c-contents2","",0,2,false
16,"konconv","根性データコンバート専用枠確保",0,0,false
23,"Asura","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
24,"Belias","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
25,"Chaos","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分为2个大组。
日本组面向日本，欧美组面向北美和欧洲。
服务器名字中带有（遗产）的为继承了1.0数据的世界。",1,0,true
26,"Hecatoncheir","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分为2个大组。
日本组面向日本，欧美组面向北美和欧洲。
服务器名字中带有（遗产）的为继承了1.0数据的世界。",1,0,true
27,"Moomba","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分为2个大组。
日本组面向日本，欧美组面向北美和欧洲。
服务器名字中带有（遗产）的为继承了1.0数据的世界。",1,0,true
28,"Pandaemonium","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
29,"Shinryu","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
30,"Unicorn","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 元素 日本推荐",1,1,true
31,"Yojimbo","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 盖亚 日本推荐",1,2,true
32,"Zeromus","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 盖亚 日本推荐",1,2,true
33,"Twintania","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 蛮神 北美推荐",3,5,true
34,"Brynhildr","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 蛮神 北美推荐",3,5,true
35,"Famfrit","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 蛮神 北美推荐",3,5,true
36,"Lich","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 混沌 欧洲推荐",5,6,true
37,"Mateus","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 以太 北美推荐",3,4,true
38,"Shemhazai","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分为2个大组。
日本组面向日本，欧美组面向北美和欧洲。
服务器名字中带有（遗产）的为继承了1.0数据的世界。",3,0,true
39,"Omega","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 元素 日本推荐",1,1,true
40,"Jenova","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 以太 北美推荐",3,4,true
41,"Zalera","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 以太 北美推荐",3,4,true
42,"Zodiark","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 混沌 欧洲推荐",5,6,true
43,"Alexander","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 盖亚 日本推荐",1,2,true
44,"Anima","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
45,"Carbuncle","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 元素 日本推荐",1,1,true
46,"Fenrir","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 盖亚 日本推荐",1,2,true
47,"Hades","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
48,"Ixion","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 玛那 日本推荐",1,3,true
49,"Kujata","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 元素 日本推荐",1,1,true
50,"Typhon","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 元素 日本推荐",1,1,true
51,"Ultima","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 盖亚 日本推荐",1,2,true
52,"Valefor","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 盖亚 日本推荐",1,2,true
53,"Exodus","“世界”即是您的角色所在的服务器。
选定世界之后，没有特殊情况无法变更。
如果想和朋友一起体验《最终幻想14 重生之境》的乐趣，
请一定要在同一个世界里创建角色。

根据所在地区不同，服务器分散在6个数据中心内。
找不到目标服务器是可以回到标题画面选择其他数据中心。
服务器名字中带有（遗产）的为继承了1.0数据的世界。

当前选择中的数据中心： 蛮神 北美推荐",3,5,true
